fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2013-12-31,2015-03-26,3077000,31149000,0.3,,,,424000,0.09878326752062666,,,,
2014-12-31,2015-03-26,3439000,34368000,0.33,,,,831000,0.10006401303538175,,,,
2015-12-31,2016-03-29,1861000,35925000,0.18,,,,599000,0.05180236604036186,,,,
2016-12-31,2017-03-27,2658000,37788000,0.26,,5056000.0,4288000.0,339000,0.07033979040965385,,3949000.0,,0.1337990896580925
2017-12-31,2018-03-28,975000,39288000,0.09,,23205000.0,7242000.0,745000,0.024816737935247402,,6497000.0,,0.5906383628588882
2018-12-31,2019-03-26,3037000,42880000,0.29,,24307000.0,10960000.0,2212000,0.07082555970149254,,8748000.0,,0.5668610074626865
2019-12-31,2020-03-23,2322000,44834000,0.22,,14881000.0,-8405000.0,620000,0.05179105143417942,,-9025000.0,,0.33191328009992416
2020-12-31,2021-03-23,-895000,44752000,-0.09,,17278000.0,3248000.0,658000,-0.019999106185198425,,2590000.0,,0.3860833035395066
2021-12-31,2022-03-23,7283000,54823000,0.68,,49082000.0,10834000.0,994000,0.13284570344563412,,9840000.0,,0.8952811776079382
2022-12-31,2023-03-22,8461000,64956000,0.78,,45110000.0,-1389000.0,1365000,0.13025740501262392,,-2754000.0,,0.6944701028388448
2023-12-31,2024-03-27,9342000,96281000,0.79,,38548000.0,16203000.0,1291000,0.09702848952545154,,14912000.0,,0.4003697510412231
2024-12-31,2025-03-13,2891000,99790000,0.24,,52498000.0,3821000.0,1324000,0.02897083876139894,,2497000.0,,0.5260847780338711
2025-12-31,2026-03-12,-2527000,103623000,-0.21,,47690000.0,7315000.0,1632000,-0.024386477905484302,,5683000.0,,0.46022601159974136
