fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2011-03-01,155066000,291722000,1.58,,355119000,-108441000.0,13414000,0.5315540137528194,,-121855000.0,,1.2173199141648556
2010-12-31,2011-03-01,-61251000,244542000,-0.62,,305935000,-63593000.0,13237000,-0.25047231150477217,,-76830000.0,,1.2510529888526307
2013-12-31,2016-02-26,-60644000,378390000,,,468766000,,1552000,-0.1602685060387431,,,,1.2388435212347049
2014-12-31,2016-02-26,-38984000,257780000,0.25,,698029000,,7518000,-0.15122973077818294,,,,2.707847777174335
2015-12-31,2016-02-26,-88278000,200790000,-0.59,,755315000,21125000.0,7692000,-0.4396533691916928,,13433000.0,,3.761716220927337
2016-12-31,2017-03-01,-86556000,99565000,0.21,,812902000,-112105000.0,7107000,-0.8693416361171095,,-119212000.0,,8.164535730427358
2017-12-31,2018-02-28,-5970000,330872000,0.08,,903305000,174149000.0,34764000,-0.018043231219323486,,139385000.0,,2.7300738654222783
2018-12-31,2019-03-01,273741000,1048079000,2.07,,1480624000,602888000.0,13608000,0.2611835558197426,,589280000.0,,1.4127026684057213
2019-12-31,2020-03-02,294146000,1471094000,2.08,,1548565000,345720000.0,30905000,0.19995051301956232,,314815000.0,,1.0526621684270345
2020-12-31,2021-02-24,-451286000,843347000,-3.23,,1546408000,35892000.0,35120000,-0.535113067337644,,772000.0,,1.833655660125666
2021-12-31,2022-02-25,-28597000,771737000,-0.2,,1839953000,30799000.0,11955000,-0.03705536989933099,,18844000.0,,2.3841710323594696
2022-12-31,2023-02-22,-269722000,572887000,-1.9,,1960989000,-274370000.0,15721000,-0.470811870403762,,-290091000.0,,3.4229944125106697
2023-12-31,2024-02-21,-366286000,386686000,-2.56,,2603386000,-307513000.0,23805000,-0.9472440171094894,,-331318000.0,,6.732558199676223
2024-12-31,2025-02-19,-453897000,588351000,-3.04,,2415324000,-500947000.0,45280000,-0.7714731512311528,,-546227000.0,,4.105243298643157
2025-12-31,2026-02-26,-381387000,489089000,-2.38,,3034747000,-268583000.0,51444000,-0.7797905902606683,,-320027000.0,,6.204897268186363
