fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-06,-44386000,629621000,-0.82,,,23168000.0,7351000,-0.07049637797976878,,15817000.0,,
2010-12-31,2012-03-06,22691000,655519000,0.31,,391930000.0,151438000.0,237450000,0.03461532007462789,,-86012000.0,,0.5978926621501436
2011-12-31,2012-03-06,39681000,701267000,0.54,,672919000.0,183461000.0,359404000,0.05658472450578738,,-175943000.0,,0.9595760245384426
2012-12-31,2013-03-05,64631000,876558000,0.83,,1039783000.0,174023000.0,441654000,0.07373271363674737,,-267631000.0,,1.1862112946319583
2013-12-31,2014-03-04,62517000,939495000,0.71,,1370301000.0,,403547000,0.06654319607874443,,,,1.4585506043140197
2014-12-31,2015-02-26,74989000,1231864000,0.69,,1677817000.0,,441065000,0.06087441470811713,,,,1.362014800335102
2015-12-31,2016-02-25,7123000,1228721000,-0.09,,1975509000.0,,494810000,0.005797084936287408,,,,1.6077767043942441
2016-12-31,2017-02-23,111032000,1343758000,0.89,,2155867000.0,,405687000,0.08262797319160146,,,,1.6043565880165922
2017-12-31,2018-02-22,233856000,1596469000,1.82,,2185582000.0,259621000.0,400107000,0.14648327026707064,,-140486000.0,,1.3690099839082375
2018-12-31,2019-02-28,-13384000,1601577000,-0.22,,2412694000.0,263709000.0,391390000,-0.008356763365108264,,-127681000.0,,1.5064489562474985
2019-12-31,2020-02-25,-161999000,1459282000,-1.33,131731125.0,2164275000.0,198143000.0,117819000,-0.11101281315057679,11.077731249922902,80324000.0,0.6097571853273097,1.4831095017960887
2020-12-31,2021-02-11,-56054000,1419439000,,,1941510000.0,249767000.0,38689000,-0.03949024931680756,,211078000.0,,1.3678009410760166
2021-12-31,2022-02-17,-9319000,1287947000,,,1892848000.0,302874000.0,42147000,-0.007235546183189215,,260727000.0,,1.4696629597335915
2022-12-31,2023-02-16,8722000,1128555000,0.07,,1825456000.0,344729000.0,71267000,0.00772846693337941,,273462000.0,,1.6175162043498101
2023-12-31,2024-02-15,15415000,888099000,0.12,,1773676000.0,314913000.0,73487000,0.017357299129939344,,241426000.0,,1.9971602265062791
2024-12-31,2025-02-13,112776000,576637000,0.94,,2094834000.0,375955000.0,69890000,0.19557537931142122,,306065000.0,,3.632847007736236
2025-12-31,2026-02-12,114372000,462600000,1.06,,2068409000.0,400073000.0,100280000,0.2472373540856031,,299793000.0,,4.471268914829226
