fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2012-03-15,6372626,103928815,2.78,,0.061317219868233845,
2011-12-31,2012-03-15,6933936,106512184,3.2,,0.06509993260489336,
2012-12-31,2013-03-14,11102496,114638890,5.24,,0.09684755321688826,
2013-12-31,2014-03-14,14708210,128062154,7.08,,0.11485212094745806,
2014-12-31,2015-03-13,9648975,137563706,4.74,,0.07014186576218004,
2015-12-31,2016-03-11,12533905,142669882,6.3,,0.08785249433373751,
2016-12-31,2017-03-10,19523118,155045069,10.19,,0.1259189868205354,
2017-12-31,2018-03-12,25706502,177835487,13.56,,0.1445521500441585,
2018-12-31,2019-03-13,21892000,175639000,11.54,,0.12464202141893316,
2019-12-31,2020-03-11,31458000,191362000,16.59,,0.16439000428507228,
2020-12-31,2021-03-15,39420000,200422000,20.8,,0.19668499466126474,
2021-12-31,2022-03-14,67020000,229087000,35.28,,0.29255261101677527,
2022-12-31,2023-03-14,23903000,241011000,12.59,,0.09917804581533624,
2023-12-31,2024-03-15,21686000,251553000,11.45,,0.0862084729659356,
2024-12-31,2025-03-17,31073000,251773000,16.43,,0.12341672856104507,
2025-12-31,2026-03-16,35180000,268300000,18.57,,0.13112187849422288,
