fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2012-03-08,-176431000,5246011000,,,-0.033631458264193496,
2011-12-31,2012-03-08,-316253000,4663475000,,,-0.06781488053436546,
2012-12-31,2013-03-13,-69338000,4342625000,,,-0.01596684033274805,
2013-12-31,2014-03-13,244048000,4264905000,,,0.05722237658283127,
2014-12-31,2015-03-27,486642000,3993049000,,,0.1218722835607577,
2015-12-31,2016-03-18,3464000,2148703000,,,0.0016121353207027682,
2016-12-31,2017-03-17,252722000,1949528000,,,0.12963240333044718,
2017-12-31,2018-03-07,61793000,1905722000,,,0.032424981188232074,
2018-12-31,2019-03-07,83849000,1852314000,,,0.04526716312677009,
2019-12-31,2020-02-21,38399000,1819601000,0.53,,0.021102978070467095,
2020-12-31,2021-02-19,-10174000,1738863000,-0.14,,-0.005850949729794699,
2021-12-31,2022-02-15,-5360000,1571552000,-0.08,,-0.0034106412005457027,
2022-12-31,2023-02-21,52233000,1603909000,0.77,,0.03256606203967931,
2023-12-31,2024-02-14,5269000,1554044000,0.08,,0.0033905088916401337,
2024-12-31,2025-02-13,13658000,1760005000,0.19,,0.007760205226689697,
2025-12-31,2026-02-12,111421000,1794262000,1.42,,0.06209851181154146,
