fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2007-09-28,2009-11-20,287130000,1843662000,2.35,,,360861000,64620000.0,0.1557389586594506,,296241000.0,,
2008-09-26,2009-11-20,420742000,2245147000,3.38,,,313411000,114786000.0,0.18740064681733534,,198625000.0,,
2009-10-02,2009-11-20,399854000,2625913000,3.21,,,533467000,55528000.0,0.1522723715522944,,477939000.0,,
2010-10-01,2010-11-23,245974000,2859048000,1.96,,,196970000,49075000.0,0.08603353284030209,,147895000.0,,
2011-09-30,2011-11-21,331029000,3312988000,2.6,,,236490000,,0.09991856294076526,,,,
2012-09-28,2012-11-20,378954000,3722473000,2.94,,,299805000,,0.10180167861526464,,,,
2013-09-27,2013-11-22,423093000,4213097000,3.23,,,448516000,,0.10042327532454154,,,,
2014-09-26,2014-11-24,328108000,4469255000,2.48,,,721716000,132146000.0,0.07341447288194565,,589570000.0,,
2015-10-02,2015-11-24,302971000,4291745000,2.4,,,484572000,88404000.0,0.07059389595607381,,396168000.0,,
2016-09-30,2016-11-22,210463000,4265276000,1.73,,,680173000,67688000.0,0.0493433484726428,,612485000.0,,
2017-09-29,2017-11-21,293727000,4428352000,2.42,,,574881000,118060000.0,0.066328738094894,,456821000.0,,
2018-09-28,2018-11-21,163431000,5854345000,1.17,,,481152000,94884000.0,0.02791618874528235,,386268000.0,,
2019-09-27,2019-11-25,847979000,5714691000,6.08,,,-366436000,135977000.0,0.1483858007370827,,-502413000.0,,
2020-10-02,2020-11-24,491845000,5815712000,3.71,,,806849000,118269000.0,0.084571760087157,,688580000.0,,
2021-10-01,2021-11-23,477030000,5940041000,3.2,,,726276000,92814000.0,0.08030752649687098,,633462000.0,,
2022-09-30,2022-11-21,644039000,6060056000,4.98,,,474709000,127615000.0,0.1062760806170768,,347094000.0,,
2023-09-29,2023-11-21,665777000,6546220000,5.3,,,974763000,137486000.0,0.1017040368334703,,837277000.0,,
2024-09-27,2024-11-25,806093000,4549467000,6.32,,,1054673000,121114000.0,0.1771840525494525,,933559000.0,,
2025-09-26,2025-11-20,289336000,3640807000,2.38,,,686704000,79232000.0,0.07947029326190594,,607472000.0,,
