fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-09-28,2010-11-24,119279000,457111000,2.01,,,172384000,178605000,0.2609409968257163,,-6221000,,
2009-09-27,2010-11-24,118408000,524489000,2.05,,,148750000,153500000,0.22575878617092066,,-4750000,,
2010-10-03,2010-11-24,70210000,520463000,1.26,,,61866000,95610000,0.13489911866933865,,-33744000,,
2011-10-02,2011-11-23,80600000,405956000,1.61,,,124260000,129312000,0.1985436845372405,,-5052000,,
2012-09-30,2012-11-21,57651000,411945000,1.28,,,136730000,80200000,0.1399482940683829,,56530000,,
2013-09-29,2013-11-22,51152000,472018000,1.14,,,198872000,84690000,0.10836874864941591,,114182000,,
2014-09-28,2014-11-21,88950000,257911000,2.12,,,201022000,60525000,0.3448864143057101,,140497000,,
2015-09-27,2015-11-19,108812000,15953000,2.85,,,226875000,86226000,6.820786059048455,,140649000,,
2016-10-02,2016-11-22,124073000,-217206000,3.63,,,134182000,96615000,-0.571222710238207,,37567000,,
2017-10-01,2017-11-30,135332000,-388032000,4.38,,,171837000,67453000,-0.3487650503051295,,104384000,,
2018-09-30,2018-11-21,121371000,-591699000,4.21,,,104055000,32345000,-0.20512287497528303,,71710000,,
2019-09-29,2019-11-21,94437000,-737584000,3.62,,,168405000,47649000,-0.12803558645523763,,120756000,,
2020-09-27,2020-11-18,89764000,-793361000,3.86,,,143525000,19528000,-0.11314395338313832,,123997000,,
2021-10-03,2021-11-23,165755000,-817882000,7.37,,,201122000,41008000,-0.20266370943485734,,160114000,,
2022-10-02,2022-11-22,115781000,-736192000,5.45,,,162882000,46475000,-0.157270114318004,,116407000,,
2023-10-01,2023-11-21,130826000,-718327000,6.3,,,215006000,74954000,-0.18212596769994724,,140052000,,
2024-09-29,2024-11-21,-36695000,-851798000,-1.87,,,68816000,115474000,0.04307946250167293,,-46658000,,
2025-09-28,2025-11-19,-80719000,-938271000,-4.24,,,162358000,88223000,0.08602951599271426,,74135000,,
