fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2015-12-31,2018-03-06,90918000,-231745000,-15.88,,,172379000,74978000,-0.3923191438865995,,97401000,,
2016-12-31,2018-03-06,377181000,61592000,-1.08,,2323497000.0,201655000,74033000,6.1238634887647745,,127622000,,37.724006364462916
2017-12-31,2018-03-06,10791000,792037000,0.0,,2070903000.0,265793000,59599000,0.013624363508270447,,206194000,,2.6146543658945225
2018-12-31,2019-03-01,144273000,767824000,1.36,,2283248000.0,219653000,97399000,0.18789852882952343,,122254000,,2.97366063056117
2019-12-31,2020-02-24,62971000,812087000,0.62,,2569245000.0,302709000,101506000,0.0775421845196389,,201203000,,3.163755853744734
2020-12-31,2021-02-23,91586000,1004464000,0.9,,2960221000.0,355655000,77692000,0.09117897704646458,,277963000,,2.9470653004985743
2021-12-31,2022-02-22,168822000,842218000,1.72,,2896453000.0,175666000,83603000,0.20044928985132116,,92063000,,3.439077530995538
2022-12-31,2023-02-21,45727000,723548000,0.53,,2777813000.0,30337000,83217000,0.06319829506819175,,-52880000,,3.8391551078850332
2023-12-31,2024-02-20,62445000,850645000,0.73,,2129480000.0,345188000,98332000,0.07340900140481635,,246856000,,2.5033709714393195
2024-12-31,2025-02-20,-189020000,620062000,-2.22,,2000107000.0,106214000,161906000,-0.30484048369356614,,-55692000,,3.2256564666114036
2025-12-31,2026-02-23,-621209000,92216000,-7.29,,2010598000.0,-4861000,119759000,-6.73645571267459,,-124620000,,21.803136115207774
