fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2011-03-03,-130027000,895947000,-1.42,,-0.1451280042234641,
2010-12-31,2011-03-03,-35864000,872124000,-0.39,,-0.04112259265884209,
2011-12-31,2012-02-27,-330279000,543561000,-3.58,,-0.6076208558009129,
2012-12-31,2013-03-01,6012000,552025000,,,0.010890811104569539,
2013-12-31,2014-02-28,4990000,558354000,,,0.00893698263109067,
2014-12-31,2015-02-27,406453000,971209000,,,0.41850209378207986,
2015-12-31,2016-03-03,-1731000,665263000,,,-0.002601978465659446,
2016-12-31,2017-03-02,15895000,669293000,,,0.023748941046746342,
2017-12-31,2018-03-01,59578000,577557000,,,0.10315518641450108,
2018-12-31,2019-02-27,32369000,518171000,,,0.06246779538028952,
2019-12-31,2020-02-26,26775000,519521000,0.45,,0.051537858912344255,
2020-12-31,2021-02-24,45203000,550617000,0.77,,0.08209517686522574,
2021-12-31,2022-02-23,74553000,607409000,1.27,,0.1227393733053017,
2022-12-31,2023-02-22,70927000,630802000,1.21,,0.11243940253835594,
2023-12-31,2024-02-21,77712000,683062000,1.33,,0.11377005308449306,
2024-12-31,2025-02-26,74189000,724280000,1.27,,0.1024313801292318,
2025-12-31,2026-02-25,115627000,766290000,1.99,,0.1508919599629383,
