fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-10-01,2011-12-16,6539000,126369000,,,0.05174528563176095,
2011-09-30,2011-12-16,32644000,163525000,,,0.19962696835346277,
2012-09-28,2012-12-11,10134000,173604000,,,0.05837423100850211,
2013-09-27,2013-12-06,19327000,197668000,,,0.09777505716656211,
2014-10-03,2014-12-05,9123000,198458000,,,0.045969424261052716,
2015-10-02,2015-12-08,10616000,197968000,,,0.053624828255071526,
2016-09-30,2016-12-13,13501000,207496000,,,0.06506631453136447,
2017-09-29,2017-12-08,35157000,243004000,,,0.14467663083735247,
2018-09-28,2018-12-07,40669000,279197000,,,0.14566417260930453,
2019-09-27,2019-12-06,51413000,324534000,,,0.15842099749178823,
2020-10-02,2020-12-11,55233000,378100000,,,0.14608040201005026,
2021-10-01,2021-12-10,83381000,458505000,,,0.18185406920317118,
2022-09-30,2022-12-09,44491000,488014000,,,0.0911674665071084,
2023-09-29,2023-12-08,19534000,499737000,,,0.03908856058286659,
2024-09-27,2024-12-11,-26533000,463424000,,,-0.05725426391382406,
2025-10-03,2025-12-12,-34294000,418419000,,,-0.0819609052170193,
