fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-01-01,2012-03-14,18507000,205840000,1.48,,,28426000,3408000,0.08990963855421687,,25018000,,
2011-12-31,2012-03-14,33575000,222480000,2.74,,,34315000,8030000,0.15091244156778139,,26285000,,
2012-12-29,2013-03-13,31623000,248583000,2.73,,,29108000,4250000,0.12721304353073218,,24858000,,
2013-12-28,2014-03-12,23419000,269496000,2.07,,,40076000,6261000,0.0868992489684448,,33815000,,
2015-01-03,2015-03-18,28659000,264291000,2.56,,,48872000,6755000,0.10843729071364519,,42117000,,
2016-01-02,2016-03-16,34389000,266609000,3.1,,,37873000,5479000,0.12898664336162696,,32394000,,
2016-12-31,2017-03-15,32077000,282629000,2.88,,,51003000,5804000,0.1134950765844977,,45199000,,
2017-12-30,2018-02-27,31092000,330991000,2.75,,,65164000,17281000,0.09393608889667696,,47883000,,
2018-12-29,2019-02-26,60413000,372968000,5.3,,,62985000,16559000,0.16197904377855474,,46426000,,
2019-12-28,2020-02-25,52068000,425695000,4.54,,,97413000,9957000,0.12231292357204102,,87456000,,
2021-01-02,2021-03-02,55196000,495359000,4.77,,,92884000,7595000,0.11142625853169116,,85289000,,
2022-01-01,2022-03-01,84043000,563936000,7.21,,,162420000,12771000,0.14902932247630937,,149649000,,
2022-12-31,2023-02-28,120928000,653849000,10.35,,,102625000,28199000,0.18494790081502,,74426000,,
2023-12-30,2024-02-27,116069000,773702000,9.9,,,165545000,31850000,0.1500177070758509,,133695000,,
2024-12-28,2025-02-25,111598000,847127000,9.48,,,155265000,21005000,0.13173703588718103,,134260000,,
2026-01-03,2026-03-03,101969000,979809000,8.65,,,171328000,17048000,0.10407028308578509,,154280000,,
