fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-12-31,2011-02-23,319000000,2052000000,1.9,,0.155458089668616,
2009-12-31,2011-02-23,290000000,2288000000,1.79,,0.12674825174825174,
2010-12-31,2011-02-23,327000000,2246000000,2.07,,0.14559216384683882,
2011-12-31,2012-02-22,480000000,2495000000,3.16,,0.19238476953907815,
2012-12-31,2013-02-20,144000000,2542000000,0.97,,0.05664830841856806,
2013-12-31,2014-02-27,229000000,2617000000,1.54,,0.08750477646159725,
2014-12-31,2015-02-27,-1262000000,942000000,-8.66,,-1.3397027600849256,
2015-12-31,2016-02-26,203000000,1065000000,1.4,,0.19061032863849764,
2016-12-31,2017-02-24,-61000000,757000000,-0.43,,-0.08058124174372523,
2017-12-31,2018-02-23,434000000,1229000000,3.06,,0.3531326281529699,
2018-12-31,2019-02-26,281000000,1718000000,1.99,,0.16356228172293363,
2019-12-31,2020-02-24,202000000,1843000000,1.41,,0.10960390667390124,
2020-12-31,2021-02-25,-72000000,1580000000,-0.51,,-0.04556962025316456,
2021-12-31,2022-02-22,18000000,1687000000,0.12,,0.01066982809721399,
2022-12-31,2023-02-17,190000000,1620000000,1.26,,0.11728395061728394,
2023-12-29,2024-02-20,-265000000,1383000000,-1.96,,-0.19161243673174258,
2025-01-03,2025-02-25,375000000,1453000000,2.79,,0.258086717136958,
2026-01-02,2026-02-26,415000000,1503000000,3.21,,0.2761144377910845,
