fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2014-12-31,2017-03-16,12973000,92586000,,,,,1059000,0.1401183764284017,,,,
2015-12-31,2017-03-16,22273000,113451000,,,431827000.0,,231000,0.19632264149280307,,,,3.806286414399168
2016-12-31,2017-03-16,26167000,210214000,0.32,,404175000.0,,565000,0.12447791298391163,,,,1.9226835510479796
2017-12-31,2018-03-01,24901000,238189000,0.27,,429660000.0,77398000.0,179000,0.10454303095441016,,77219000.0,,1.803861639286449
2018-12-31,2019-02-28,33787000,263986000,0.2,,509077000.0,103980000.0,1273000,0.12798784784041578,,102707000.0,,1.9284242346185025
2019-12-31,2020-03-02,63316000,405880000,2.86,,684670000.0,178357000.0,19622000,0.15599684635852962,,158735000.0,,1.6868778949443186
2020-12-31,2021-02-25,88419000,576238000,3.87,,970658000.0,279974000.0,32875000,0.15344180703112256,,247099000.0,,1.684474123539232
2021-12-31,2022-02-25,152659000,699335000,6.62,,1326320000.0,407042000.0,5920000,0.21829166279393997,,401122000.0,,1.8965445744886213
2022-12-31,2023-02-24,159114000,745449000,6.88,,2001673000.0,557815000.0,6901000,0.2134471975950065,,550914000.0,,2.6851910727628585
2023-12-31,2024-02-23,308093000,1086832000,13.22,,2686142000.0,859835000.0,6607000,0.2834780352437175,,853228000.0,,2.471533778909712
2024-12-31,2025-02-21,414843000,1483561000,17.78,,3403143000.0,976301000.0,23943000,0.2796265202441962,,952358000.0,,2.293901632625824
2025-12-31,2026-02-20,503614000,1959583000,21.65,,4083978000.0,1043738000.0,53685000,0.2570005965554917,,990053000.0,,2.0841056490079777
