fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2019-12-31,2020-03-27,292962,5000010,-0.73,,0.05859228281543437,
2020-12-31,2021-03-08,154152,5000002,0.48,,0.030830387667844933,
2021-12-31,2022-03-15,21206000,40799000,0.26,,0.519767641363759,
2022-12-31,2023-03-09,-37871000,7128000,-0.39,,-5.312991021324355,
2022-03-31,2024-04-24,-6454000,26744000,-1.65,,-0.24132515704457075,
2022-06-30,2024-04-24,-17263000,17743000,-4.4,,-0.9729470777207913,
2022-09-30,2024-04-24,-27068000,9701000,-6.89,,-2.790227811565818,
2023-03-31,2024-04-24,-10545000,-6624000,-2.65,,1.5919384057971016,
2023-06-30,2024-04-24,-17983000,-11933000,-4.47,,1.5069974021620716,
2023-09-30,2024-04-24,-22037000,-14683000,-5.43,,1.5008513246611728,
2023-12-31,2024-04-24,-36666000,-27992000,-8.97,,1.309874249785653,
2024-12-31,2025-03-28,-25915000,-46794000,-5.96,,0.5538103175620807,
2025-12-31,2026-03-11,1365000,-38083000,-0.11,,-0.0358427644880918,
