fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-01-31,2010-03-30,1249000000,5205000000,1.89,,0.2399615754082613,
2010-01-30,2010-03-30,70000000,4832000000,0.11,,0.014486754966887417,
2011-01-29,2011-03-29,1116000000,5296000000,1.74,,0.2107250755287009,
2012-01-28,2013-04-02,602000000,3981000000,1.01,,0.15121828686259733,
2013-02-02,2013-04-02,1497000000,4207000000,2.77,,0.3558355122415023,
2014-02-01,2014-04-01,1519000000,5384000000,2.9,,0.28213224368499257,
2015-01-31,2015-03-31,1728000000,5412000000,3.44,,0.31929046563192903,
2016-01-30,2016-03-29,2039000000,6820000000,2.06,,0.29897360703812315,
2017-01-28,2017-03-28,1975000000,6698000000,2.05,,0.29486413854882054,
2018-02-03,2018-04-03,1907000000,6931000000,2.09,,0.27514067234165346,
2019-02-02,2019-04-02,3110000000,7886000000,3.76,,0.39436976921126043,
2020-02-01,2020-04-01,1659000000,8602000000,2.04,,0.19286212508718903,
2021-01-30,2021-03-30,2585000000,9576000000,3.27,,0.26994569757727654,
2022-01-29,2022-03-29,1655000000,9452000000,2.17,,0.1750952179432924,
2023-01-28,2023-03-28,2244000000,10042000000,3.06,,0.22346146186018723,
2024-02-03,2024-04-02,2164000000,11615000000,2.96,,0.18631080499354283,
2025-02-01,2025-04-01,2665000000,8285000000,3.67,,0.32166566083283044,
2026-01-31,2026-03-31,1016000000,5927000000,1.54,,0.1714189303188797,
