fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2016-12-31,2018-02-28,31157000,497698000,1.61,,0.06260222062375176,
2017-12-31,2018-02-28,59062000,1059145000,1.3,,0.055763847254153114,
2018-12-31,2019-02-20,89744000,1132342000,1.58,,0.07925520734901646,
2019-12-31,2020-02-19,89965000,1122018000,1.57,,0.0801814231144242,
2020-12-31,2021-02-16,54397000,1043554000,0.96,,0.052126674805520364,
2021-12-31,2023-02-07,137183000,1361434000,2.21,,0.10076360660891384,
2022-12-31,2023-02-07,38103000,1571538000,0.23,,0.02424567525570492,
2023-12-31,2024-02-06,-30851000,1404767000,-0.78,,-0.021961649156052213,
2024-12-31,2025-02-03,35591000,1345030000,0.19,,0.026461119826323577,
2025-12-31,2026-02-03,-47051000,1172550000,-1.05,,-0.04012707347234659,
