fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-02,-1781766,375077842,,,-0.004750389920394178,
2010-12-31,2012-03-02,-8270830,423064921,,,-0.01954978914453652,
2011-12-31,2012-03-02,4981274,409371535,0.05,,0.01216810054954114,
2012-12-31,2013-03-08,-4333847,473086357,-0.09,,-0.009160794717231722,
2013-12-31,2014-03-07,-2849735,753557171,-0.01,,-0.0037817104125202465,
2014-12-31,2015-02-27,-5701000,1898784000,0.06,,-0.0030024478824342317,
2015-12-31,2016-02-26,27117000,1725976000,0.18,,0.0157111106991059,
2016-12-31,2017-02-27,1183000,1643574000,0.01,,0.000719772885188011,
2017-12-31,2018-02-20,11874000,1565411000,0.14,,0.007585228416051759,
2018-12-31,2019-02-27,-46567000,1412705000,-0.56,,-0.0329630035994776,
2019-12-31,2020-02-20,-534000,1289038000,-0.01,,-0.0004142624189511869,
2020-12-31,2021-02-22,-16223000,1230654000,-0.19,,-0.01318242170423206,
2021-12-31,2022-02-28,-80806000,3922047000,-0.73,,-0.020603016741002848,
2022-12-31,2023-02-21,-12636000,3766515000,-0.06,,-0.0033548253491622894,
2023-12-31,2024-02-20,47498000,3568138000,0.22,,0.013311704872401235,
2024-12-31,2025-02-12,4071000,3312110000,0.02,,0.001229125844250342,
2025-12-31,2026-02-17,298663000,3073609000,1.37,,0.09717013452264098,
