fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2007-12-31,2012-03-30,-14977,35023,,,-0.42763326956571396,
2008-12-31,2012-03-30,-33623,1400,,,-24.01642857142857,
2009-12-31,2012-03-30,-19996,-18596,,,1.0752850075285008,
2010-12-31,2012-03-30,-22395,-40991,,,0.5463394403649582,
2011-12-31,2012-03-30,-118031,-68031,,0.0,1.7349590627802032,-inf
2012-12-31,2013-03-28,-145346,-95346,,,1.5244058481740188,
2013-12-31,2014-03-31,-173957,-123957,,,1.403365683261131,
2014-12-31,2015-02-27,-204691,-154691,,,1.3232250098583629,
2015-12-31,2016-03-17,-22625000,82103000,,,-0.27556849323410837,
2016-12-31,2017-03-14,-27560000,56876000,,,-0.48456290878402136,
2017-12-31,2018-03-12,-35434000,79865000,,,-0.44367369936768297,
2018-12-31,2019-03-05,-60447000,160985000,,,-0.3754821877814703,
2019-12-31,2020-02-25,-63140000,218781000,,,-0.2885991013844895,
2020-12-31,2021-02-24,-89625000,610905000,-1.69,,-0.14670857170918555,
2021-12-31,2022-02-24,-130466000,506609000,-1.97,,-0.25752799496258455,
2022-12-31,2023-02-23,-135840000,420278000,-2.03,,-0.323214634123128,
2023-12-31,2024-02-27,-152631000,397273000,-2.08,,-0.3841967614209876,
2024-12-31,2025-02-28,-173983000,413640000,-2.02,,-0.4206145440479644,
2025-12-31,2026-03-05,-278666000,174135000,-3.18,,-1.6002871335458122,
