fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2013-12-31,2016-02-25,56339000,336154000,4.27,,239115000,73801000.0,11439000,0.16759877913099352,,62362000.0,,0.7113257614069742
2014-12-31,2016-02-25,56492000,357475000,4.26,,300391000,54690000.0,13052000,0.1580306315126932,,41638000.0,,0.8403133086229806
2015-12-31,2016-02-25,51180000,373045000,3.84,,304270000,73432000.0,11033000,0.13719524454154325,,62399000.0,,0.8156388639440282
2016-12-31,2017-02-28,61403000,402760000,4.63,,279422000,,9954000,0.15245555665905253,,,,0.6937680007945178
2017-12-31,2018-02-28,20278000,407672000,1.52,,312508000,64762000.0,10872000,0.04974096822936086,,53890000.0,,0.7665672403304618
2018-12-31,2019-02-28,59473000,435052000,4.45,,273296000,78779000.0,12886000,0.13670319869808667,,65893000.0,,0.628191572501678
2019-12-31,2020-03-20,31622000,1240762000,2.08,,1607950000,82374000.0,15545000,0.02548595137504211,,66829000.0,,1.295937496473941
2020-12-31,2021-03-01,39658000,1320364000,2.22,,1570920000,178389000.0,17901000,0.030035656834024555,,160488000.0,,1.189762822979118
2021-12-31,2022-03-01,121369000,1387294000,6.77,,1567838000,48933000.0,21457000,0.08748614208668097,,27476000.0,,1.1301411236551155
2022-12-31,2023-02-23,-15931000,1277918000,-0.89,,1543037000,41794000.0,28539000,-0.012466371081712599,,13255000.0,,1.2074616681195507
2023-12-31,2024-02-29,112748000,1384319000,6.26,,1329289000,279020000.0,38800000,0.08144654519659125,,240220000.0,,0.9602476018894489
2024-12-31,2025-02-24,116644000,1353567000,6.51,,1256466000,204578000.0,41794000,0.08617526875285819,,162784000.0,,0.9282628787492603
2025-12-31,2026-02-23,-2488000,1373113000,-0.14,,1421437000,136453000.0,55856000,-0.0018119411876517083,,80597000.0,,1.0351930249003543
