fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-31,2014-02-13,322800000,2210000000,,,36222600000,2919700000,,0.1460633484162896,,,,16.39031674208145
2013-12-31,2014-02-13,-963900000,12025800000,,,56172800000,3931300000,,-0.08015267175572519,,,,4.671023965141612
2014-12-31,2015-02-13,-695000000,14714500000,,,58725900000,5603200000,,-0.0472323218593904,,,,3.9910224608379488
2015-12-31,2016-02-16,-1152500000,10652400000,,,57692900000,5705800000,,-0.10819158123990838,,,,5.415953212421614
2016-12-31,2017-02-16,1705300000,13761300000,,,53952100000,5935500000,,0.12391997849040425,,,,3.9205670975852573
2017-12-31,2018-02-14,-2778100000,6805000000,,,51203800000,5708500000,,-0.40824393828067596,,,,7.524437913299045
2018-12-31,2019-02-27,725300000,4681400000,0.03,,49005300000,5963100000,,0.15493228521382493,,,,10.468086469859443
2019-12-31,2020-02-13,11521400000,13606200000,-2.19,,35847700000,4585400000,,0.8467757345915833,,,,2.6346591994825888
2020-12-31,2021-02-16,-1628000000,13662600000,-2.7,,45794300000,4185800000,,-0.11915740781403247,,,,3.3517998038440706
2021-12-31,2022-02-17,13426800000,25934900000,23.59,,21319000000,3549000000,,0.5177116549514361,,,,0.8220197494495833
2022-12-31,2023-02-22,1473200000,22436400000,2.96,,20321600000,2837800000,,0.06566115776149471,,,,0.9057424542261682
2023-12-31,2024-02-15,-4051700000,19062600000,-9.52,,23080500000,2165900000,,-0.21254708172022704,,,,1.2107739762676655
2024-12-31,2025-02-18,1588000000,12365900000,4.23,,12895400000,2032900000,,0.12841766470697644,,,,1.0428193661601663
2025-12-31,2026-02-18,-7138100000,9735700000,-20.86,,12650100000,1211100000,,-0.7331881631521103,,,,1.2993518699220394
