fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2011-02-24,111800000,1554000000,0.7,,0.07194337194337194,
2010-12-31,2011-02-24,176600000,1507300000,1.15,,0.11716313938831022,
2011-12-31,2012-02-24,153300000,1297200000,1.04,,0.11817761332099908,
2012-12-31,2013-02-28,248200000,1434500000,1.7,,0.17302195887068664,
2013-12-31,2014-02-26,197300000,1391300000,1.34,,0.14180981815568175,
2014-12-31,2015-02-26,98000000,1146500000,0.68,,0.08547754034016572,
2015-12-31,2016-02-25,325100000,1085600000,2.28,,0.29946573323507736,
2016-12-31,2017-02-22,385800000,1091600000,2.76,,0.3534261634298278,
2017-12-31,2018-02-22,292600000,1190200000,2.13,,0.24584103512014788,
2018-12-31,2019-02-27,305900000,1157000000,2.26,,0.26439066551426105,
2019-12-31,2020-02-20,333800000,1312000000,2.47,,0.25442073170731705,
2020-12-31,2021-02-24,247600000,1389800000,1.82,,0.1781551302345661,
2021-12-31,2022-02-22,402400000,1648000000,2.94,,0.2441747572815534,
2022-12-31,2023-02-24,309800000,1640700000,2.27,,0.18882184433473517,
2023-12-31,2024-02-27,-136800000,1333300000,-1.0,,-0.1026025650641266,
2024-12-31,2025-02-26,-511500000,689400000,-3.73,,-0.7419495213228895,
2025-12-31,2026-02-26,235400000,1022100000,1.69,,0.23031014577829959,
