fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2011-06-30,2012-09-10,-50791750,-20808202,-0.69,,2.4409485259706725,
2012-06-30,2012-09-10,12469077,28283169,0.11,,0.44086562577199184,
2013-06-30,2013-09-12,7608000,33945000,0.06,,0.22412726469288555,
2014-06-30,2014-09-10,11383000,3990000,0.1,,2.8528822055137844,
2015-06-30,2015-09-01,6987000,3325000,0.07,,2.1013533834586466,
2016-06-30,2016-12-12,6019000,12131000,0.41,,0.4961668452724425,
2017-06-30,2017-09-07,1608000,14527000,0.11,,0.11069043849383906,
2018-06-30,2018-08-15,5761000,21947000,0.41,,0.26249601312252246,
2019-06-30,2019-08-14,7429000,27199000,0.5,,0.27313504172947534,
2020-06-30,2020-08-18,11549000,33254000,0.79,,0.34729656582666746,
2021-06-30,2021-08-19,12894000,36807000,0.9,,0.3503137990056239,
2022-06-30,2022-08-23,3120000,31516000,0.24,,0.09899733468714304,
2023-06-30,2023-08-28,2540000,34649000,0.2,,0.07330658893474559,
2024-06-30,2024-08-28,2937000,25991000,0.23,,0.11300065407256359,
2025-06-30,2025-09-04,9805000,34641000,0.75,,0.2830461014404896,
2026-06-30,2026-08-27,5072000,33589000,0.4,,0.15100181607073745,
