fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-02-23,-1948000,3744000,,,,-33801000,522000,-0.5202991452991453,,-34323000,,
2010-12-31,2012-02-23,-10373000,-4850000,,,72064000.0,-27067000,70000,2.138762886597938,,-27137000,,
2011-12-31,2012-02-23,10176000,8646000,0.49,,105360000.0,-1172000,78000,1.1769604441360166,,-1250000,,12.185981956974324
2012-12-31,2013-03-14,-527000,26485000,-0.03,,77775000.0,161000,595000,-0.01989805550311497,,-434000,,2.936567868604871
2013-12-31,2014-02-24,11420000,49613000,0.55,,55100000.0,20690000,377000,0.2301816056275573,,20313000,,1.110596013141717
2014-12-31,2014-12-01,11420000,49613000,0.55,,55100000.0,20690000,377000,0.2301816056275573,,20313000,,1.110596013141717
2015-12-31,2016-02-26,257305000,304391000,12.12,,229538000.0,41727000,93000,0.8453108009106708,,41634000,,0.7540893127589187
2016-12-31,2017-02-28,-1636000,341290000,-0.08,,230732000.0,63001000,1850000,-0.004793577309619385,,61151000,,0.6760584839872249
2017-12-31,2018-03-01,12556000,399788000,0.53,,252374000.0,93568000,2156000,0.03140664552212673,,91412000,,0.6312695728736231
2018-12-31,2019-02-28,143321000,560914000,5.96,,699889000.0,194059000,887000,0.25551332289798434,,193172000,,1.2477652545666538
2019-12-31,2020-02-27,629302000,767232000,31.85,,727683000.0,-29336000,2553000,0.8202238697030364,,-31889000,,0.9484523586086087
2020-12-31,2021-02-24,-2985000,709525000,-0.18,,652760000.0,54586000,4458000,-0.004207039921073958,,50128000,,0.9199957718191748
2021-12-31,2022-02-28,57138000,821159000,3.31,,476431000.0,78798000,8761000,0.0695821393907879,,70037000,,0.5801933608472902
2022-12-31,2023-02-28,-33361000,597485000,-1.98,,165183000.0,137850000,17923000,-0.055835711356770464,,119927000,,0.27646384428060955
2023-12-31,2024-02-29,52154000,700913000,2.94,,86303000.0,49577000,3521000,0.07440866412807295,,46056000,,0.12312940407725352
2024-12-31,2025-02-28,-4032000,830439000,-0.22,,111335000.0,97047000,1821000,-0.00485526330049528,,95226000,,0.1340676437402386
2025-12-31,2026-02-27,124453000,1017212000,6.13,,543425000.0,49359000,452000,0.12234716067053869,,48907000,,0.5342298360617059
