fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2007-12-31,2010-02-24,476800000,1725300000,3.93,,,709700000,142600000,0.27635773488668636,,567100000,,
2008-12-31,2010-02-24,464500000,1688300000,4.16,,2859900000.0,780900000,156700000,0.2751288278149618,,624200000,,1.6939524965942072
2009-12-31,2010-02-24,543300000,2106100000,4.98,,2731700000.0,862400000,114700000,0.2579649589288258,,747700000,,1.2970419258344807
2010-12-31,2012-02-24,558200000,2466300000,5.29,,3700900000.0,883600000,126100000,0.2263309410858371,,757500000,,1.500587925232129
2011-12-31,2012-02-24,519700000,2503500000,5.11,,3612900000.0,855600000,145700000,0.20758937487517476,,709900000,,1.4431396045536249
2012-12-31,2013-02-26,583100000,2717400000,5.99,,4056900000.0,841400000,173800000,0.2145801133436373,,667600000,,1.4929344226098475
2013-12-31,2014-02-25,573800000,2491300000,6.25,,4455200000.0,818700000,202200000,0.2303215188857223,,616500000,,1.7883032954682294
2014-12-31,2015-02-26,511200000,2820500000,5.91,,4463600000.0,739000000,203500000,0.18124446020209184,,535500000,,1.582556284346747
2015-12-31,2016-02-29,436900000,4944400000,4.34,,9262400000.0,982400000,255800000,0.08836259202329909,,726600000,,1.8733112207750182
2016-12-31,2017-02-27,732100000,5505800000,7.02,,8726000000.0,1175900000,278900000,0.13296886919248793,,897000000,,1.5848741327327545
2017-12-31,2018-02-27,1268200000,6830000000,12.21,,9717200000.0,1459400000,312900000,0.18568081991215227,,1146500000,,1.4227232796486091
2018-12-31,2019-02-28,883700000,6971400000,8.61,,9194800000.0,1305400000,379800000,0.12676076541297301,,925600000,,1.318931634965717
2019-12-31,2020-02-28,823800000,7567000000,8.35,,10459300000.0,1444700000,400200000,0.10886745077309369,,1044500000,,1.3822254526232325
2020-12-31,2021-02-25,1556100000,9359700000,15.88,,10691300000.0,2135300000,381700000,0.16625532869643259,,1753600000,,1.1422695171853798
2021-12-31,2022-02-25,2377300000,10273400000,24.39,,10091400000.0,3109600000,460400000,0.23140343021784415,,2649200000,,0.9822843459808827
2022-12-31,2023-02-28,1279100000,10096600000,13.97,,10039600000.0,1955900000,481900000,0.12668621119980983,,1474000000,,0.994354535190064
2023-12-31,2024-02-26,418000000,7875000000,4.77,,8834600000.0,1327700000,453600000,0.05307936507936508,,874100000,,1.1218539682539683
2024-12-31,2025-02-25,746000000,8052200000,8.84,,10312500000.0,1585800000,489900000,0.0926454881895631,,1095900000,,1.28070589404138
2025-12-31,2026-02-24,876500000,8619800000,10.46,,9756000000.0,1640500000,434500000,0.10168449383976426,,1206000000,,1.131812803081278
