fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2016-12-31,2018-02-14,-432300000,4179600000,,,8483500000,468200000,568200000.0,-0.10343095033017513,,-100000000.0,,2.029739688008422
2017-12-31,2018-02-14,-778100000,3329600000,,,8926300000,573900000,776700000.0,-0.23369173474291205,,-202800000.0,,2.6808925997116773
2018-12-31,2019-02-21,-345200000,3112600000,,,9323200000,816800000,771400000.0,-0.11090406733920195,,45400000.0,,2.995309387650196
2019-12-31,2020-02-19,-80100000,3109800000,-0.58,,10957600000,918200000,721500000.0,-0.025757283426586917,,196700000.0,,3.5235706476300725
2020-12-31,2021-03-01,-687200000,2714700000,-3.49,,11786300000,640100000,631100000.0,-0.2531403101631856,,9000000.0,,4.341658378458025
2021-12-31,2022-02-23,-440100000,2236000000,-1.89,,12472600000,1016200000,855900000.0,-0.196824686940966,,160300000.0,,5.578085867620751
2022-12-31,2023-02-22,-175600000,1917400000,-0.79,,11009100000,868800000,816300000.0,-0.09158235110044853,,52500000.0,,5.741681443621571
2023-12-31,2024-02-22,-73600000,1763500000,-0.35,,11284900000,897000000,,-0.04173518571023533,,,,6.399149418769492
2024-12-31,2025-02-19,-657000000,1121000000,-3.31,,11174000000,756300000,,-0.5860838537020517,,,,9.967885816235505
2025-12-31,2026-02-18,-611200000,555600000,-3.06,,11162400000,805900000,,-1.1000719942404609,,,,20.09071274298056
