fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2007-12-31,2010-02-25,1215000000,11718000000,4.43,,,1955000000,,0.10368663594470046,,,,
2008-12-31,2010-02-25,57000000,7977000000,0.22,,155159000000.0,1259000000,,0.007145543437382475,,,,19.450796038611006
2009-12-31,2010-02-25,-485000000,11700000000,-1.85,,165733000000.0,937000000,,-0.04145299145299145,,,,14.165213675213675
2010-12-31,2011-02-25,980000000,12806000000,2.54,,181018000000.0,1720000000,,0.07652662814305794,,,,14.135405278775574
2011-12-31,2012-02-23,294000000,14164000000,0.92,,188742000000.0,1277000000,,0.020756848347924316,,,,13.325473030217452
2012-12-31,2013-03-01,1313000000,14973000000,4.56,,203896000000.0,1269000000,,0.08769117745274828,,,,13.617578307620384
2013-12-31,2014-02-25,1244000000,13452000000,4.52,,223493000000.0,799000000,,0.09247695509961344,,,,16.614109426107643
2014-12-31,2015-02-26,1515000000,15740000000,5.67,,237637000000.0,2526000000,,0.09625158831003812,,,,15.097649301143584
2015-12-31,2016-02-25,1154000000,13617000000,4.51,,238320000000.0,2243000000,,0.0847470074171991,,,,17.50165234633179
2016-12-31,2017-02-23,1192000000,14478000000,5.03,,247149000000.0,1272000000,,0.08233181378643459,,,,17.070658930791545
2017-12-31,2018-02-22,2079000000,17322000000,9.22,,264441000000.0,788000000,,0.12002078281953585,,,,15.266193280221684
2018-12-31,2019-02-20,1641000000,14350000000,7.4,,283797000000.0,1943000000,,0.11435540069686412,,,,19.776794425087107
2019-12-31,2020-02-20,886000000,19689000000,4.38,,315072000000.0,-2686000000,,0.04499974605109452,,,,16.00243790949261
2020-12-31,2021-02-18,499000000,22699000000,2.56,,343249000000.0,534000000,,0.021983347284021324,,,,15.121767478743557
2021-12-31,2022-02-17,1405000000,20272000000,7.43,,367029000000.0,151000000,,0.06930741910023679,,,,18.10521902131018
2022-12-31,2023-02-16,-2227000000,4101000000,-13.1,,331336000000.0,4033000000,,-0.5430382833455255,,,,80.79395269446476
2023-12-31,2024-02-22,-752000000,6893000000,-4.92,,365520000000.0,-2074000000,,-0.10909618453503554,,,,53.027709270274194
2024-12-31,2025-02-21,3275000000,8269000000,18.41,,382562000000.0,-2007000000,,0.39605756439714596,,,,46.26460273309953
2025-12-31,2026-02-19,1177000000,10906000000,5.83,,406298000000.0,-167000000,,0.1079222446359802,,,,37.25453878598936
