fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-12-31,2015-03-25,-13880000,-54729000,,,0.25361325805331725,
2013-12-31,2015-03-25,-14027000,-68574000,,,0.20455274593869396,
2014-12-31,2015-03-25,-36478000,104441000,,,-0.3492689652531094,
2015-12-31,2016-03-15,-74286000,169110000,,,-0.43927621075039913,
2016-12-31,2017-03-10,-57878000,121727000,,,-0.4754738061399689,
2017-12-31,2018-03-09,-52028000,78217000,,,-0.6651750898142348,
2018-12-31,2019-03-14,-61368000,93271000,,,-0.6579537047957028,
2019-12-31,2020-03-05,-45406000,53624000,,,-0.8467477248992988,
2020-12-31,2021-03-04,-42482000,89692000,-3.57,,-0.47364313428176424,
2021-12-31,2022-03-25,-50636000,64413000,-2.95,,-0.7861146041948054,
2022-12-31,2023-03-14,-35355000,110903000,-1.37,,-0.31879209759880256,
2023-12-31,2024-03-14,-36949000,81720000,-0.84,,-0.452141458639256,
2024-12-31,2025-03-24,-80604000,171812000,-1.32,,-0.4691406886596978,
2025-12-31,2026-03-19,-165673000,78085000,,,-2.121700710763911,
