fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-04-30,2013-07-29,-734488,-299977,,,2.4484810502138497,
2013-04-30,2013-07-29,-1524559,-882008,,,1.7285092652220841,
2014-04-27,2014-07-29,-3399541,-1742355,,,1.9511184574900065,
2014-03-31,2015-07-14,121837,138209,,,0.8815417230426383,
2015-03-31,2015-07-14,-5432926,-2814609,,,1.9302595849014907,
2016-03-31,2016-07-19,-3746944,230724,,,-16.239940361644216,
2017-03-31,2017-06-14,-14249719,-3405692,,,4.18408916601971,
2018-03-31,2018-06-29,-23336000,38397000,,,-0.6077558142563221,
2019-03-31,2019-06-24,-37762000,9463000,,,-3.990489274014583,
2020-03-31,2020-06-26,-38927000,-7130000,,,5.45960729312763,
2021-03-31,2021-07-14,-41820000,8136000,,,-5.140117994100295,
2022-03-31,2022-06-29,-43912000,-10916000,-0.56,,4.022718944668377,
2023-03-31,2023-06-29,-10019000,-1013000,-0.12,,9.890424481737414,
2024-03-31,2024-07-01,-11966000,-8744000,,,1.3684812442817933,
2025-03-31,2025-07-15,-18709000,-17775000,,,1.0525457102672293,
2026-03-31,2026-06-29,-20965000,-20547000,,,1.0203436024723804,
