fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2015-05-31,2017-07-25,268300000,1357500000,1.83,,,353700000,114700000,0.1976427255985267,,239000000,,
2016-05-29,2017-07-25,285300000,1400600000,1.92,,,382300000,152300000,0.203698414965015,,230000000,,
2017-05-28,2017-07-25,326900000,-647200000,2.22,,,446900000,287400000,-0.5050988875154512,,159500000,,
2018-05-27,2018-07-26,416800000,-334800000,2.82,,,481200000,306800000,-1.2449223416965352,,174400000,,
2019-05-26,2019-07-25,478600000,-4600000,3.18,,,680900000,334200000,-104.04347826086956,,346700000,,
2020-05-31,2020-07-28,365900000,240000000,2.49,,,574000000,167700000,1.5245833333333334,,406300000,,
2021-05-30,2021-07-27,317800000,480600000,2.16,,,553200000,147200000,0.6612567623803579,,406000000,,
2022-05-29,2022-07-27,200900000,360500000,1.38,,,418100000,290100000,0.5572815533980583,,128000000,,
2023-05-28,2023-07-25,1008900000,1411300000,6.95,,,761700000,654000000,0.7148728123007156,,107700000,,
2024-05-26,2024-07-24,725500000,1787800000,4.98,,,798200000,929500000,0.4058060185703099,,-131300000,,
2025-05-25,2025-07-23,357200000,1737700000,2.5,,,868300000,638200000,0.2055590723369972,,230100000,,
2026-05-31,2026-07-24,290000000,1824900000,2.08,,,942900000,402700000,0.15891281714066524,,540200000,,
