fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2011-04-30,2012-06-19,24047000,361316000,0.45,,0.0665539306313587,
2012-04-28,2012-06-19,87966000,441904000,1.64,,0.19906133458850792,
2013-04-27,2013-06-18,46389000,484828000,0.85,,0.09568135503725032,
2014-04-26,2014-06-17,55056000,521886000,1.02,,0.10549430335360596,
2015-04-25,2015-06-16,70773000,524146000,1.34,,0.1350253555307109,
2016-04-30,2016-06-21,79252000,547142000,1.55,,0.14484722430374564,
2017-04-29,2017-06-20,85922000,589919000,1.73,,0.14565050456079565,
2018-04-28,2018-06-19,80866000,612181000,1.67,,0.13209491963977973,
2019-04-27,2019-06-18,68574000,682508000,1.44,,0.10047354756281245,
2020-04-25,2020-06-23,77469000,700753000,1.66,,0.11055107862542152,
2021-04-24,2021-06-15,106461000,773498000,2.3,,0.13763577927803303,
2022-04-30,2022-06-21,150017000,810725000,3.39,,0.1850405501248882,
2023-04-29,2023-06-20,150664000,941836000,3.48,,0.15996840214219885,
2024-04-27,2024-06-17,122626000,1003064000,2.83,,0.12225142164408254,
2025-04-26,2025-06-17,99556000,1020623000,2.35,,0.09754434301402183,
2026-04-25,2026-06-16,101985000,1049997000,2.47,,0.0971288489395684,
