fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-02-24,35600000,482200000,2.2,,,63400000,15300000,0.07382828701783492,,48100000,,
2010-12-31,2012-02-24,65300000,524200000,3.53,,326200000.0,141100000,73700000,0.12457077451354445,,67400000,,0.6222815719191148
2011-12-31,2012-02-24,92600000,475900000,5.46,,369300000.0,81500000,60900000,0.19457869300273167,,20600000,,0.776003362050851
2012-12-31,2013-03-01,79800000,511800000,2.51,,374900000.0,174600000,27200000,0.1559202813599062,,147400000,,0.7325127002735443
2013-12-31,2014-02-28,76100000,561400000,2.42,,663000000.0,178100000,29100000,0.13555397221232632,,149000000,,1.1809761311008193
2014-12-31,2015-02-27,89700000,489000000,2.93,,697600000.0,165900000,35100000,0.18343558282208589,,130800000,,1.4265848670756647
2015-12-31,2016-02-26,89700000,467900000,2.94,,822100000.0,144700000,24200000,0.19170762983543493,,120500000,,1.7569993588373585
2016-12-31,2017-02-24,82800000,508300000,2.7,,665400000.0,129700000,27800000,0.16289592760180996,,101900000,,1.309069447176864
2017-12-31,2018-03-01,34500000,546700000,1.12,,995800000.0,131000000,37200000,0.06310590817633072,,93800000,,1.8214743003475398
2018-12-31,2019-03-01,94500000,557900000,3.06,,908600000.0,139100000,27000000,0.16938519447929737,,112100000,,1.6286072772898368
2019-12-31,2020-03-02,85800000,597700000,2.76,,874000000.0,160300000,28600000,0.14355027605822318,,131700000,,1.4622720428308515
2020-12-31,2021-03-01,83800000,649600000,2.66,,935300000.0,161600000,30100000,0.1290024630541872,,131500000,,1.4398091133004927
2021-12-31,2022-03-01,88900000,682200000,2.8,,1738100000.0,58100000,35900000,0.13031369099970683,,22200000,,2.547786572852536
2022-12-31,2023-03-01,-6600000,1179300000,-0.18,,2489900000.0,202200000,56900000,-0.005596540320529127,,145300000,,2.1113372339523444
2023-12-31,2024-02-29,-309500000,949100000,-5.69,,1693300000.0,106600000,66000000,-0.3260984090190707,,40600000,,1.7841112633020757
2024-12-31,2025-02-27,-48700000,858500000,-0.9,,1589400000.0,94800000,55000000,-0.056726849155503786,,39800000,,1.8513686662783926
2025-12-31,2026-02-26,-337400000,498700000,-6.19,,1552900000.0,133800000,40000000,-0.6765590535392019,,93800000,,3.1138961299378383
