fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2015-12-31,2017-04-03,-748360,-744699,,,1.0049160801881027,
2016-12-31,2017-04-03,-3926361,14960369,,,-0.26245081254346064,
2017-12-31,2018-03-28,-9805000,17118000,,,-0.572788877205281,
2018-12-31,2019-02-21,-11876000,14272000,,,-0.8321188340807175,
2019-12-31,2020-03-19,-13205000,15571000,,,-0.8480508637852417,
2020-12-31,2021-03-24,-17355000,17760000,,,-0.9771959459459459,
2021-12-31,2022-03-24,-15894000,78993000,-0.59,,-0.2012077019482739,
2022-12-31,2023-03-22,-29025000,52191000,-1.01,,-0.5561303673047077,
2023-12-31,2024-03-22,-29769000,26073000,-15.07,,-1.1417558393740652,
2024-12-31,2025-03-21,-21763000,5979000,-6.32,,-3.639906338852651,
2025-12-31,2026-03-18,-33560000,15006000,-28.42,,-2.2364387578302014,
