fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-14,-52087000,140104000,-6.23,,,-8775000,,-0.3717738251584537,,,,
2010-12-31,2012-03-14,-13316000,125936000,-1.72,,1506485000.0,29602000,,-0.10573624698259433,,,,11.962306250794054
2011-12-31,2012-03-14,37485000,164999000,4.07,,1268230000.0,22506000,,0.22718319504966697,,,,7.686289007812168
2012-12-31,2013-03-14,12535000,146590000,1.3,,1276336000.0,17021000,,0.0855106078177229,,,,8.706842212974964
2013-12-31,2014-02-28,17033000,153325000,1.95,,1273641000.0,28507000,,0.1110908201532692,,,,8.306805804663297
2014-12-31,2015-03-10,17331000,328138000,1.28,,2565241000.0,14414000,,0.052816193187012785,,,,7.817567608749977
2015-12-31,2016-03-07,27020000,333804000,1.62,,2569752000.0,36004000,,0.080945704665013,,,,7.698385879138656
2016-12-31,2017-03-06,31913000,340811000,1.96,,2741760000.0,34602000,,0.09363840955837693,,,,8.044810760216073
2017-12-31,2018-03-05,31274000,365870000,1.9,,2920834000.0,38665000,,0.08547844862929456,,,,7.9832563478831275
2018-12-31,2019-03-04,42024000,375249000,2.53,,2988658000.0,61737000,,0.11198963887978382,,,,7.964466261069316
2019-12-31,2020-03-02,49456000,416561000,3.01,,3216354000.0,44767000,,0.11872450853536456,,,,7.7212076982722815
2020-12-31,2021-03-05,44138000,441554000,2.71,,3995790000.0,37877000,,0.09996059372126626,,,,9.049380143764976
2021-12-31,2022-03-04,59021000,456559000,3.69,,4801190000.0,64573000,,0.12927354405454716,,,,10.516034072266674
2022-12-31,2023-03-03,61063000,441408000,3.85,,4431211000.0,119862000,,0.1383368674786139,,,,10.03880989923155
2023-12-31,2024-03-01,82217000,522145000,5.13,,4831079000.0,66613000,,0.15746009250304036,,,,9.252370510107346
2024-12-31,2025-03-03,79593000,584526000,4.93,,5467635000.0,101118000,,0.13616674023054579,,,,9.35396372445366
2025-12-31,2026-02-27,88753000,724884000,5.47,,6110335000.0,17973000,,0.12243752103784881,,,,8.429396979378769
