fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-05-27,2012-08-14,16115000,335796000,,,0.047990446580662066,
2011-05-26,2012-08-14,13558000,339480000,,,0.03993755154942854,
2012-05-31,2012-08-14,22734000,343789000,0.04,,0.06612777023115923,
2013-05-30,2013-08-13,17506000,306702000,,,0.05707820620667619,
2014-05-29,2014-08-12,25001000,326211000,,,0.07664057925698398,
2015-05-28,2015-08-11,23995000,343779000,,,0.06979774797180748,
2015-12-31,2017-03-14,30782000,363352000,,,0.08471674849732491,
2016-12-29,2017-03-14,37902000,390112000,,,0.09715671396932163,
2017-12-28,2018-03-13,64996000,445024000,,,0.14605055008269216,
2018-12-27,2019-03-12,53391000,490009000,,,0.10895922319794127,
2019-12-26,2020-02-24,42017000,621435000,,,0.06761286377497244,
2020-12-31,2021-03-05,-124843000,498723000,,,-0.2503253308951061,
2021-12-30,2022-03-03,-43293000,453614000,,,-0.09544017600867698,
2022-12-29,2023-03-02,-11972000,456097000,,,-0.026248802338099134,
2023-12-28,2024-03-01,14794000,471172000,,,0.03139830040834345,
2024-12-26,2025-02-28,-7787000,464866000,,,-0.016751063747402477,
2025-12-31,2026-02-27,12691000,457378000,,,0.02774728998771257,
