fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-12-31,2011-02-25,30117000,886698000,0.59,,0.03396534107441316,
2009-12-31,2011-02-25,-212659000,684933000,-4.31,,-0.3104814631504103,
2010-12-31,2011-02-25,142587000,847039000,2.8,,0.16833581452565938,
2011-12-31,2012-02-24,129731000,990012000,2.45,,0.13103982577988954,
2012-12-31,2013-02-26,48029000,1012156000,0.9,,0.047452171404408015,
2013-12-31,2014-02-26,35776000,1021523000,0.67,,0.03502221682722758,
2014-12-31,2015-02-25,115778000,1081822000,2.16,,0.1070213029500232,
2015-12-31,2016-02-26,122297000,1160881000,2.28,,0.1053484379535887,
2016-12-31,2017-03-01,104809000,1241792000,1.94,,0.08440141344122043,
2017-12-31,2018-02-28,339132000,1588907000,6.16,,0.21343728739315768,
2018-12-31,2019-02-26,392896000,1873187000,7.14,,0.20974734503282375,
2019-12-31,2020-02-28,140386000,2023344000,2.55,,0.06938315975928958,
2020-12-31,2021-02-23,350100000,2360900000,6.33,,0.14829090601041975,
2021-12-31,2022-02-28,551400000,2886600000,9.9,,0.1910205778424444,
2022-12-31,2023-03-14,333000000,4483000000,5.56,,0.07428061565915682,
2023-12-31,2024-02-27,-1841000000,2472000000,-27.54,,-0.7447411003236246,
2024-12-31,2025-02-25,190000000,2322000000,2.81,,0.0818260120585702,
2025-12-31,2026-02-24,295000000,2719000000,4.37,,0.10849577050386171,
