fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-25,2012-02-28,86171000,788736000,2.28,,0.10925201841934437,
2011-12-31,2012-02-28,86321000,855688000,2.26,,0.10087905872233804,
2012-12-29,2013-02-27,82395000,506908000,2.31,,0.16254428811539767,
2013-12-28,2014-02-26,172600000,703405000,6.11,,0.2453778406465692,
2014-12-27,2015-02-24,101560000,762150000,1.79,,0.13325460867283342,
2015-12-26,2016-02-24,87864000,827285000,1.54,,0.1062076551611597,
2016-12-31,2017-03-01,99727000,898684000,1.74,,0.1109700406371984,
2017-12-30,2018-02-28,85598000,522111000,1.49,,0.16394598083549283,
2018-12-29,2019-02-27,104459000,548356000,1.82,,0.19049486100270627,
2019-12-28,2020-02-26,100972000,643468000,1.79,,0.15691844815903822,
2020-12-26,2021-02-24,139493000,776745000,2.47,,0.17958660821762612,
2021-12-25,2022-02-23,468520000,1222118000,8.25,,0.38336723622432534,
2022-12-31,2023-02-28,658316000,1790914000,11.64,,0.36758660661539305,
2023-12-30,2024-02-28,602897000,2337445000,5.3,,0.25792991920665514,
2024-12-28,2025-02-26,604879000,2773165000,5.31,,0.21811864782658083,
2025-12-27,2026-02-25,765191000,3209966000,6.86,,0.2383797834618809,
