fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-06-30,2010-07-30,17681000000,36286000000,1.87,,,21612000000.0,3182000000,0.4872678167888442,,18430000000.0,,
2009-06-30,2010-07-30,14569000000,39558000000,1.62,,,19037000000.0,3119000000,0.3682946559482279,,15918000000.0,,
2010-06-30,2010-07-30,18760000000,46175000000,2.1,,39938000000.0,24073000000.0,1977000000,0.4062804547915539,,22096000000.0,,0.8649269085002708
2011-06-30,2011-07-28,23150000000,57083000000,2.69,,51621000000.0,26994000000.0,2355000000,0.4055498134295675,,24639000000.0,,0.904314769721283
2012-06-30,2012-07-26,16978000000,66363000000,2.0,,54908000000.0,31626000000.0,2305000000,0.2558353299278212,,29321000000.0,,0.8273887557825897
2013-06-30,2013-07-30,21863000000,78944000000,2.58,,63487000000.0,28833000000.0,4257000000,0.2769431495743818,,24576000000.0,,0.8042029793271179
2014-06-30,2014-07-31,22074000000,89784000000,2.63,,82600000000.0,,5485000000,0.24585672280139,,,,0.9199857435623273
2015-06-30,2015-07-31,12193000000,80083000000,1.48,,96140000000.0,,5944000000,0.15225453591898405,,,,1.2005044766055217
2016-06-30,2016-07-28,16798000000,71997000000,2.1,,121697000000.0,33325000000.0,8343000000,0.23331527702543162,,24982000000.0,,1.6903065405503006
2017-06-30,2017-08-02,21204000000,72394000000,2.71,,168692000000.0,39507000000.0,8129000000,0.2928972014255325,,31378000000.0,,2.330193109926237
2018-06-30,2018-08-03,16571000000,82718000000,2.13,,176130000000.0,43884000000.0,11632000000,0.20033124591987234,,32252000000.0,,2.1292826228874007
2019-06-30,2019-08-01,39240000000,102330000000,5.06,,184226000000.0,52185000000.0,13925000000,0.3834652594547054,,38260000000.0,,1.8003127137691781
2020-06-30,2020-07-30,44281000000,118304000000,5.76,,183007000000.0,60675000000.0,15441000000,0.37429841763592103,,45234000000.0,,1.5469214903976196
2021-06-30,2021-07-29,61271000000,141988000000,8.05,,191791000000.0,76740000000.0,20622000000,0.4315223821731414,,56118000000.0,,1.3507549933797223
2022-06-30,2022-07-28,72738000000,166542000000,9.65,,198298000000.0,89035000000.0,23886000000,0.4367546925099975,,65149000000.0,,1.1906786276134549
2023-06-30,2023-07-27,72361000000,206223000000,9.68,,205753000000.0,87582000000.0,28107000000,0.35088714643856406,,59475000000.0,,0.9977209137681055
2024-06-30,2024-07-30,88136000000,268477000000,11.8,,243686000000.0,118548000000.0,44477000000,0.32828137978299815,,74071000000.0,,0.9076606189729474
2025-06-30,2025-07-30,101832000000,343479000000,13.64,,275524000000.0,136162000000.0,64551000000,0.2964722734140952,,71611000000.0,,0.8021567548525529
2026-06-30,2026-07-29,133749000000,442387000000,17.95,,315989000000.0,182935000000.0,115948000000,0.30233483352811,,66987000000.0,,0.7142818392041358
