fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2011-02-25,-23796000,724161000,-1.27,,324395000,160829000,26591000,-0.03286009602836938,,134238000,,0.44795977690044064
2010-12-31,2011-02-25,66869000,755523000,3.58,,333410000,142419000,34518000,0.08850690184150582,,107901000,,0.4412969558835403
2011-12-31,2012-02-27,67521000,741612000,3.73,,396935000,133659000,52060000,0.09104626138735619,,81599000,,0.5352327092873362
2012-12-31,2013-02-22,74147000,790411000,2.09,,397470000,139918000,52130000,0.09380815803423788,,87788000,,0.5028649651889966
2013-12-31,2014-02-21,80330000,847538000,2.3,,343139000,134797000,43831000,0.09478041102581831,,90966000,,0.4048656225443579
2014-12-31,2015-02-18,92400000,863000000,2.65,,2337800000,310800000,81800000,0.1070683661645423,,229000000,,2.708922363847045
2015-12-31,2016-02-19,107900000,910500000,3.08,,2042300000,270000000,86000000,0.1185063152114223,,184000000,,2.243053267435475
2016-12-31,2017-02-17,133400000,1006500000,3.79,,1832500000,225100000,62400000,0.1325384997516145,,162700000,,1.8206656731246895
2017-12-31,2018-02-16,195100000,1251700000,5.48,,1691300000,207600000,76700000,0.15586801949348886,,130900000,,1.351202364783894
2018-12-31,2019-02-15,169000000,1353500000,4.75,,1701800000,203600000,75900000,0.12486147026228298,,127700000,,1.2573328407831548
2019-12-31,2020-02-14,132700000,1402700000,3.78,,1678000000,238300000,65000000,0.09460326513153204,,173300000,,1.196264347330149
2020-12-31,2021-02-19,112400000,1460800000,3.29,,1710700000,240600000,66800000,0.07694414019715225,,173800000,,1.1710706462212486
2021-12-31,2022-02-18,164400000,1539300000,4.86,,1794700000,232400000,86000000,0.10680179302280257,,146400000,,1.1659195738322614
2022-12-31,2023-02-17,122200000,1579500000,3.73,,1788400000,105700000,82300000,0.07736625514403292,,23400000,,1.1322570433681545
2023-12-31,2024-02-16,84100000,1652000000,2.58,,1659900000,233600000,93500000,0.050907990314769974,,140100000,,1.0047820823244553
2024-12-31,2025-02-21,167100000,1747000000,5.17,,1610700000,236400000,89500000,0.095649685174585,,146900000,,0.9219805380652547
2025-12-31,2026-02-20,-18400000,1713400000,-0.59,,1719300000,193700000,107100000,-0.010738881755573713,,86600000,,1.0034434457803199
