fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2013-02-22,74120000,162851000,1.89,,0.4551399745779885,
2011-12-31,2013-02-22,21793000,166670000,0.55,,0.13075538489230215,
2012-12-31,2013-02-22,193301000,310309000,5.16,,0.6229306916654045,
2013-12-31,2015-02-12,-64203000,81541000,-1.82,,-0.7873707705326155,
2014-12-31,2015-05-28,-117232000,-18502000,-3.44,,6.336179872446222,
2015-12-31,2016-02-22,-84867000,-62330000,-2.47,,1.3615754853200706,
2016-12-31,2017-02-21,-29615000,-72114000,-1.42,,0.41066921818232244,
2017-12-31,2018-02-22,84936000,-39637000,2.02,,-2.142846330448823,
2018-12-31,2019-02-22,-3900000,-17310000,-0.11,,0.22530329289428075,
2019-12-31,2020-02-21,-21826000,-14981000,-0.64,,1.4569120886456177,
2020-12-31,2021-03-09,344965000,345600000,7.54,,0.9981626157407407,
2021-12-31,2022-02-23,56708000,452762000,1.21,,0.12524902708266153,
2022-12-31,2023-02-22,-8036000,428153000,-0.18,,-0.018768991458660806,
2023-12-31,2024-03-08,-36622000,344598000,-0.89,,-0.10627455760045038,
2024-12-31,2025-03-14,-54308000,276797000,-1.44,,-0.1962015484271867,
2025-12-31,2026-03-16,-29724000,248250000,-0.82,,-0.11973413897280967,
