fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2011-06-30,2012-09-21,5086000,35478000,0.71,,0.1433564462483793,
2012-06-30,2012-09-21,4158000,39868000,0.59,,0.10429417076351961,
2013-06-30,2013-09-19,1570000,40339000,0.23,,0.038920151714221966,
2014-06-30,2014-09-25,1994000,42438000,0.29,,0.04698619162071728,
2015-06-30,2015-09-18,3346000,43860000,0.49,,0.07628818969448245,
2016-06-30,2016-09-19,9546000,53726000,1.44,,0.17767933588951346,
2017-06-30,2017-09-18,7235000,61148000,1.09,,0.118319487145941,
2018-06-30,2018-09-19,5051000,68248000,0.73,,0.07400949478372992,
2019-06-30,2019-09-24,6541000,76084000,0.92,,0.08597076914988697,
2020-06-30,2020-09-21,-1645000,71375000,-0.25,,-0.023047285464098073,
2021-06-30,2021-09-20,10768000,80083000,1.69,,0.1344604972341196,
2022-06-30,2022-09-21,10712000,88520000,1.74,,0.1210122006326254,
2023-06-30,2023-09-21,2522000,88772000,0.43,,0.02840985896453837,
2024-06-30,2024-09-27,-7217000,82595000,-1.23,,-0.08737817059144017,
2025-06-30,2025-09-23,-13575000,68426000,-2.28,,-0.19838950106684594,
