fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-12-31,2014-02-21,168556000,2010318000,0.94,,0.08384544136798258,
2013-12-31,2014-02-21,101714000,2608908000,0.49,,0.03898719310914758,
2014-12-31,2015-02-27,338352000,3518813000,1.62,,0.09615515231983057,
2015-12-31,2016-02-29,427137000,3780880000,1.86,,0.1129729057785489,
2016-12-31,2017-02-27,633085000,4537726000,2.78,,0.13951591612186368,
2017-12-31,2020-02-27,759872000,5749766000,3.31,,0.13215703039045415,
2018-12-31,2020-02-27,954843000,5963001000,4.25,,0.1601279288733978,
2019-12-31,2020-02-27,930228000,6515579000,4.3,,0.14276981370343295,
2020-12-31,2021-02-26,-4012514000,4354105000,-15.75,,-0.9215473673694135,
2021-12-31,2022-03-01,-4506587000,2432650000,-12.33,,-1.852542289273015,
2022-12-31,2023-02-28,-2269909000,68591000,-5.41,,-33.09339417707862,
2023-12-31,2024-02-28,166178000,300807000,0.39,,0.5524406014487695,
2024-12-31,2025-02-27,910257000,1425439000,1.89,,0.6385801146173214,
2025-12-31,2026-03-02,423246000,2209888000,0.92,,0.1915237333294719,
