fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2013-04-30,2014-08-18,-26370,-682526,0.0,,685601.0,-16890.0,,0.038635890793903824,,,,
2014-04-30,2014-08-18,-27985,-710511,0.0,,712134.0,-20152.0,,0.03938714530809516,,,,
2015-04-30,2017-02-14,-485668,-948108,0.0,,2261192.0,-80769.0,,0.5122496593215119,,,,
2016-04-30,2017-02-17,-835874,-1783982,0.0,,2485681.0,-21729.0,,0.468543965129693,,,,
2017-04-30,2017-09-08,-828121,-2590703,0.0,,2610451.0,-14179.0,,0.31965107540308557,,,,
2018-04-30,2018-07-30,131129,-1483991,0.0,,1582396.0,-50156.0,,-0.08836239572881506,,,,
2019-04-30,2019-08-05,582880,-865258,0.0,,1584684.0,30558.0,,-0.6736487845243846,,,,
2018-10-31,2020-08-11,-20355,-1486950,,,,,,0.013689095127610209,,,,
2019-01-31,2020-08-11,12391,-1471184,,,,,,-0.008422467889808482,,,,
2019-07-31,2020-08-11,24475,-821095,,,,,,-0.029807756715118226,,,,
2019-10-31,2020-08-11,542451,638699,,,,,,0.8493061676940155,,,,
2020-01-31,2020-08-11,595174,1235373,,,,,,0.48177675892220406,,,,
2020-04-30,2020-08-11,604851,679156,0.0,,1534342.0,-3604.0,,0.890592146723286,,,,2.259189346777471
2021-04-30,2021-08-31,1469660,14178543,0.89,,11537385.0,-3250868.0,,0.10365380984491848,,,,0.8137214804088121
2022-04-30,2022-08-08,3503530,25237861,1.27,,6522663.0,-3006667.0,,0.13882040161802936,,,,0.25844753642156915
2023-04-30,2023-07-26,2954972,36156452,0.63,,5663641.0,-4617200.0,,0.08172737745396036,,,,0.1566426097339418
2022-07-31,2024-07-29,64477,29664394,,,,,,0.0021735485309425165,,,,
2022-10-31,2024-07-29,183138,30270260,,,,,,0.006050096695568522,,,,
2023-01-31,2024-07-29,1696499,34257399,,,,,,0.04952211929457925,,,,
2023-07-31,2024-07-29,-491655,38465385,,,,,,-0.012781751697012782,,,,
2023-10-31,2024-07-29,339616,39127561,,,,,,0.008679713003322645,,,,
2024-01-31,2024-07-29,-2227542,40302801,,,,,,-0.05527015355582854,,,,
2024-04-30,2024-07-29,-4986317,37940608,-0.41,,3616698.0,-4879838.0,,-0.13142427764995226,,,,0.09532525150888463
2025-04-30,2025-08-12,-28301325,14905724,-20.39,,5995767.0,-5339211.0,,-1.8986883830668004,,,,0.40224594256541985
