fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2016-12-31,2018-03-20,-2775368,-893767,,,3.105247788293817,
2017-12-31,2018-03-20,-5376962,5275488,,,-1.019234997785987,
2018-12-31,2019-03-11,-9796261,6248208,,,-1.5678512943231082,
2019-12-31,2020-03-26,-13305964,4760670,,,-2.794977177582147,
2020-12-31,2021-03-25,-11725501,7169321,,,-1.6355106710942362,
2021-12-31,2022-03-30,-11231250,10784246,,,-1.0414497221224368,
2022-12-31,2023-03-16,-13179092,7204504,,,-1.8292851249718232,
2023-12-31,2024-03-28,-10060250,5658989,-2766.85,,-1.7777468731605592,
2024-12-31,2025-03-31,-11507947,2560366,-56.94,,-4.494649202496831,
2025-12-31,2026-03-31,-7027410,2260120,-8.93,,-3.109308355308568,
