fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-10-31,2010-12-17,117504000,574112000,3.43,,0.2046708656150716,
2009-10-31,2010-12-17,-160055000,369976000,-4.77,,-0.43260914221463015,
2010-10-31,2010-12-17,168048000,505072000,4.91,,0.3327208793993728,
2011-10-31,2011-12-16,222364000,571323000,3.25,,0.3892089063454473,
2012-10-31,2012-12-17,224829000,669770000,3.45,,0.33568090538543083,
2013-10-31,2013-12-16,221817000,887863000,3.42,,0.24983246289123434,
2014-10-31,2014-12-15,246773000,904797000,3.84,,0.27273852587928565,
2015-10-31,2015-12-15,211111000,660016000,3.45,,0.31985739739642677,
2016-10-31,2016-12-15,271843000,851603000,4.73,,0.3192132953970336,
2017-10-31,2017-12-15,295802000,1155493000,5.08,,0.2559963582643945,
2018-10-31,2018-12-14,377375000,1450741000,6.4,,0.2601256874934947,
2019-10-31,2019-12-13,337091000,1581045000,5.79,,0.21320772021036719,
2020-10-31,2020-12-18,249539000,1758991000,4.27,,0.14186485320277364,
2021-10-31,2021-12-17,454368000,2159130000,7.74,,0.21044031623848494,
2022-10-31,2022-12-19,513103000,2294375000,8.81,,0.2236351947698175,
2023-10-31,2023-12-20,487493000,2598060000,8.46,,0.18763731399582764,
2024-10-31,2024-12-18,467284000,2932192000,8.11,,0.15936337047505758,
2025-10-31,2025-12-17,484474000,3043571000,8.51,,0.15917946386005125,
