fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2013-03-14,-31626000,-9864000,,,11115000,-3195000,14000.0,3.2062043795620436,,-3209000.0,,
2011-12-31,2013-03-14,-17145000,13673000,,,2954000,-3453000,114000.0,-1.2539311050976376,,-3567000.0,,0.21604622248226432
2012-12-31,2013-03-14,-9287000,8100000,,,4068000,-3744000,310000.0,-1.1465432098765431,,-4054000.0,,0.5022222222222222
2013-12-31,2014-03-06,-13080000,6348000,,,5123000,-8801000,155000.0,-2.060491493383743,,-8956000.0,,0.8070258349086327
2014-12-31,2015-03-12,-14234000,3270000,,,5332000,-11824000,115000.0,-4.352905198776758,,-11939000.0,,1.6305810397553517
2015-12-31,2016-03-11,-7820000,1845000,,,4094000,-8063000,198000.0,-4.238482384823849,,-8261000.0,,2.218970189701897
2016-12-31,2017-03-15,-5291000,4505000,,,5568000,-6252000,987000.0,-1.174472807991121,,-7239000.0,,1.2359600443951166
2017-12-31,2018-03-08,-4705000,9023000,,,5264000,-5581000,656000.0,-0.5214451956112158,,-6237000.0,,0.5833979829325058
2018-12-31,2019-03-07,-3060000,11838000,,,3446000,-2859000,236000.0,-0.2584896097313735,,-3095000.0,,0.29109646899814157
2019-12-31,2020-03-11,-5298000,6393000,,,3589000,-3517000,89000.0,-0.8287189113092445,,-3606000.0,,0.561395276083216
2020-12-31,2021-03-10,-5605000,15113000,,,4682000,-5752000,60000.0,-0.3708727585522398,,-5812000.0,,0.3097995103553232
2021-12-31,2022-03-10,-7268000,23878000,-0.54,,3155000,-7678000,,-0.3043806013904012,,,,0.13212999413686238
2022-12-31,2023-03-09,-4883000,19418000,-0.36,,1780000,-6808000,52000.0,-0.25146771037182,,-6860000.0,,0.09166752497682562
2023-12-31,2024-02-28,-10123000,17163000,-0.66,,1851000,-6308000,123000.0,-0.5898153003554157,,-6431000.0,,0.10784827827302919
2024-12-31,2025-03-21,-6466000,16442000,-0.41,,1939000,-5592000,37000.0,-0.39326116044276854,,-5629000.0,,0.11792969225155091
2025-12-31,2026-03-18,8493000,24689000,,,2196000,-10254000,91000.0,0.3439993519381101,,-10345000.0,,0.08894649439021426
