fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-12-31,2011-02-22,73227000,291123000,4.75,,0.25153285724590635,
2009-12-31,2011-02-22,162283000,458185000,10.65,,0.35418662767222847,
2010-12-31,2011-02-22,177125000,491640000,12.09,,0.36027377756081685,
2011-12-31,2012-02-22,206907000,549593000,15.09,,0.37647313557487083,
2012-12-31,2013-02-15,239593000,402205000,17.85,,0.595698710856404,
2013-12-31,2014-02-19,264742000,572448000,19.9,,0.4624734473698921,
2014-12-31,2015-02-17,233255000,421041000,,,0.5539959291375425,
2015-12-31,2016-02-12,238603000,387564000,,,0.6156479962019176,
2016-12-31,2017-02-15,243441000,483251000,,,0.5037568468559817,
2017-12-31,2018-02-15,190509000,601649000,,,0.31664475466592645,
2018-12-31,2019-02-19,234734000,489907000,,,0.4791399183926745,
2019-12-31,2020-02-18,254286000,683098000,,,0.3722540543230986,
2020-12-31,2021-02-16,270568000,759824000,24.64,,0.35609298995556865,
2021-12-31,2022-02-15,190908000,762129000,17.71,,0.25049302677105845,
2022-12-31,2023-02-15,279538000,762407000,27.77,,0.36665193262916,
2023-12-31,2024-02-15,388864000,1077061000,40.44,,0.36104176086591194,
2024-12-31,2025-02-14,462413000,1461583000,48.22,,0.316378200895878,
2025-12-31,2026-02-12,418747000,1778243000,44.44,,0.23548356439474244,
