fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-14,11015000,142098000,0.91,,0.07751692493912651,
2010-12-31,2012-03-14,7028000,150591000,0.58,,0.046669455677962164,
2011-12-31,2012-03-14,9760000,161542000,0.8,,0.06041772418318456,
2012-12-31,2013-03-15,12685000,175825000,1.03,,0.0721455993175032,
2013-12-31,2014-03-14,14390000,192737000,1.15,,0.07466132605571323,
2014-12-31,2015-03-13,14128000,210587000,1.11,,0.06708866169326691,
2015-12-31,2016-03-11,10147000,223981000,0.79,,0.045302949803778,
2016-12-31,2017-03-10,6469000,232954000,0.5,,0.027769430874764973,
2017-12-31,2018-03-09,19851000,257319000,1.51,,0.07714548867359192,
2018-12-31,2019-03-18,426000,260181000,0.03,,0.0016373217106552746,
2019-12-31,2020-03-31,-13864000,247693000,-1.06,,-0.055972514362537494,
2020-12-31,2021-03-31,1808000,251544000,0.14,,0.007187609324809973,
2021-12-31,2022-03-18,-9183000,235910000,-0.7,,-0.03892586155737358,
2022-12-31,2023-03-31,-569000,230076000,-0.05,,-0.0024730958465898224,
2023-12-31,2024-04-01,4747000,235894000,0.38,,0.020123445276268154,
2024-12-31,2025-03-17,17227000,255057000,1.37,,0.06754176517405913,
2025-12-31,2026-03-16,19928000,274716000,1.57,,0.07254036896285619,
