fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-12-31,2014-03-12,-27491000,-1349000,,,,,0,20.378799110452185,,,,
2012-12-31,2014-03-12,-27491000,488748000,,,54020000.0,,2447000,-0.05624780050250845,,,,0.11052730650560207
2013-12-31,2014-03-12,-55184000,463217000,,,18002000.0,,6692000,-0.11913206985063156,,,,0.03886299509733019
2014-12-31,2015-02-20,-48906000,426958000,-0.84,,36307000.0,,8220000,-0.11454522458883544,,,,0.08503646728718048
2015-12-31,2016-02-19,-27793000,402731000,-0.47,,259720000.0,41463000.0,6135000,-0.06901132517735163,,35328000.0,,0.6448969659648748
2016-12-31,2017-02-17,65841000,477349000,1.08,,364388000.0,71944000.0,11471000,0.13793052881644247,,60473000.0,,0.7633576272287153
2017-12-31,2018-02-16,22050000,509077000,0.35,,385771000.0,67763000.0,8510000,0.04331368339170695,,59253000.0,,0.7577851680590559
2018-12-31,2019-02-14,107927000,701500000,1.6,,390543000.0,145861000.0,8060000,0.15385174625801853,,137801000.0,,0.5567255880256593
2019-12-31,2020-02-14,171957000,930420000,2.47,,434398000.0,208150000.0,9956000,0.18481653446830465,,198194000.0,,0.4668837729197567
2020-12-31,2021-02-24,171566000,1369591000,2.13,,797075000.0,252598000.0,12159000,0.1252680544775776,,240439000.0,,0.5819803138309174
2021-12-31,2022-02-16,231130000,1565786000,2.65,,884795000.0,325719000.0,12238000,0.14761276445184718,,313481000.0,,0.5650804132876396
2022-12-31,2023-02-15,292902000,1613727000,3.39,,902303000.0,313394000.0,10572000,0.1815065373511133,,302822000.0,,0.5591422836700384
2023-12-31,2024-02-15,322110000,1926004000,3.84,,1014503000.0,342683000.0,9372000,0.16724264331745936,,333311000.0,,0.5267398198549951
2024-12-31,2025-02-14,360106000,2217432000,4.43,,1132541000.0,393604000.0,6905000,0.16239776462141792,,386699000.0,,0.5107444106516006
2025-12-31,2026-02-12,388926000,2591986000,4.92,,1249112000.0,419299000.0,6781000,0.15004942156323375,,412518000.0,,0.4819130967528374
