fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-13,9066000,117072000,1.4,,937407000,18106000,2107000,0.07743952439524396,,15999000,,8.00709819598196
2011-12-31,2012-03-13,11398000,125383000,1.74,,959823000,-5025000,664000,0.09090546565323848,,-5689000,,7.655128685706994
2012-12-31,2013-03-15,12946000,136260000,1.97,,1023754000,32549000,1589000,0.09500954058417731,,30960000,,7.513239395273741
2013-12-31,2014-02-28,12325000,144151000,1.87,,1070688000,18648000,2209000,0.08550062087671956,,16439000,,7.427544727403903
2014-12-31,2015-03-13,17408000,164323000,2.54,,1284908000,20478000,5282000,0.10593769587945692,,15196000,,7.819404465595199
2015-12-31,2016-03-11,17783000,177035000,2.56,,1322278000,10519000,6838000,0.1004490637444573,,3681000,,7.4690202502330045
2016-12-31,2017-03-13,14411000,186594000,2.06,,1339828000,20123000,3293000,0.07723185097055639,,16830000,,7.180445244755994
2017-12-31,2018-03-13,13151000,192802000,1.88,,1326307000,19284000,1555000,0.06820987334156285,,17729000,,6.879114324540202
2018-12-31,2019-03-13,20004000,205947000,2.86,,1297041000,25150000,3511000,0.09713178633337703,,21639000,,6.297935876706143
2019-12-31,2020-03-06,20691000,207117000,3.04,,1436879000,-821000,2318000,0.09990005648981011,,-3139000,,6.937523235659072
2020-12-31,2021-03-05,32888000,221575000,5.11,,1900223000,-36454000,2849000,0.14842829741622476,,-39303000,,8.57598104479296
2021-12-31,2022-03-04,37517000,237817000,6.0,,2486902000,111989000,2338000,0.15775575337339215,,109651000,,10.457208694079903
2022-12-31,2023-03-07,30741000,218629000,5.27,,2455689000,78123000,3796000,0.1406080620594706,,74327000,,11.232219879338972
2023-12-31,2024-03-08,25394000,234718000,4.49,,2572779000,38925000,6166000,0.10818940175018534,,32759000,,10.961149123629205
2024-12-31,2025-03-10,36971000,267116000,6.62,,2774753000,-8727000,620000,0.13840803246529598,,-9347000,,10.387820272840264
2025-12-31,2026-03-06,64608000,326544000,2.87,,2963729000,139337000,5469000,0.1978538879905924,,133868000,,9.076047944534274
