fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-02-24,33574000,467574000,0.73,,0.071804676906757,
2010-12-31,2012-02-24,75485000,544971000,1.61,,0.13851195751700549,
2011-12-31,2012-02-24,100235000,596832000,2.18,,0.16794508337354566,
2012-12-31,2013-02-22,92763000,705291000,2.07,,0.13152443459508203,
2013-12-31,2014-02-21,71021000,716918000,1.64,,0.09906432813794604,
2014-12-31,2015-02-20,75684000,721231000,1.83,,0.10493725311308028,
2015-12-31,2016-02-19,75851000,685742000,1.98,,0.11061157111566741,
2016-12-31,2017-02-17,84690000,713443000,2.32,,0.11870604939707867,
2017-12-31,2018-02-26,90683000,843469000,2.5,,0.1075119536106247,
2018-12-31,2019-02-22,163677000,986989000,4.55,,0.16583467495585058,
2019-12-31,2020-02-21,159407000,1160318000,4.43,,0.1373821659234796,
2020-12-31,2021-02-17,172640000,1342429000,4.87,,0.1286027045005732,
2021-12-31,2022-02-18,219345000,1509227000,5.95,,0.14533598988091254,
2022-12-31,2023-02-16,280608000,1638068000,7.66,,0.1713042437798675,
2023-12-31,2024-02-22,281309000,1735733000,7.55,,0.16206928139293314,
2024-12-31,2025-02-14,249691000,1770611000,6.55,,0.14101968190641537,
2025-12-31,2026-02-12,157347000,1648874000,4.86,,0.09542693983894464,
