fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2011-06-30,2012-09-21,1121000,35429000,0.06,,0.031640746281294985,
2012-06-30,2012-09-21,2286000,37723000,0.12,,0.060599634175436734,
2013-06-30,2013-09-17,3021000,40335000,0.16,,0.0748977314986984,
2014-06-30,2014-09-15,3476000,43752000,0.18,,0.07944779667215213,
2015-06-30,2015-09-10,4845000,46504000,0.25,,0.10418458627214863,
2016-06-30,2016-09-08,5773000,51273000,0.31,,0.1125933727302869,
2017-06-30,2017-09-13,5599000,56889000,0.3,,0.09841972964896553,
2018-06-30,2018-09-13,7649000,63453000,0.41,,0.12054591587474194,
2019-06-30,2019-09-13,12223000,71172000,0.66,,0.17173888607879503,
2020-06-30,2020-09-15,8520000,77901000,0.46,,0.10936958447259984,
2021-06-30,2021-09-13,14901000,93237000,0.81,,0.15981852697963256,
2022-06-30,2022-08-29,19599000,113791000,0.53,,0.17223682013516006,
2023-06-30,2023-09-08,27127000,140169000,0.73,,0.19353066655251874,
2024-06-30,2024-08-29,49818000,178889000,1.34,,0.27848554131332837,
2025-06-30,2025-08-25,43406000,168606000,1.19,,0.2574404232352348,
2026-06-30,2026-08-24,43027000,191002000,1.2,,0.22526989246185905,
