fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-03-31,2012-05-25,27917000,266843000,0.67,,0.10461957030913309,
2011-03-31,2012-05-25,37265000,319559000,0.87,,0.1166138334392084,
2012-03-31,2012-05-25,32428000,342369000,0.76,,0.09471651931103575,
2013-03-31,2013-05-24,40609000,371903000,0.96,,0.10919245071967691,
2014-03-31,2014-05-20,49106000,409161000,1.17,,0.12001632609168518,
2015-03-31,2015-05-20,61192000,435750000,1.47,,0.14042914515203672,
2016-03-31,2016-05-31,-28369000,2443382000,-0.35,,-0.011610546365652199,
2017-03-31,2017-05-24,33291000,2436250000,0.36,,0.0136648537711647,
2018-03-31,2018-05-22,79812000,2068782000,0.9,,0.03857922197698936,
2019-03-31,2019-05-28,-73324000,2065433000,-0.93,,-0.035500546374537444,
2020-03-31,2020-05-20,-2754000,1937919000,-0.04,,-0.001421112027902095,
2021-03-31,2021-05-20,19352000,2005779000,0.26,,0.009648121752197026,
2022-03-31,2022-05-19,35874000,2060395000,0.48,,0.01741122454674953,
2023-03-31,2023-05-16,59648000,2029649000,0.82,,0.029388332662445577,
2024-03-31,2024-05-16,-147734000,1892065000,-2.07,,-0.07808082703289791,
2025-03-31,2025-05-15,-366922000,1560395000,-5.12,,-0.23514686986307953,
2026-03-31,2026-05-14,95531000,1649260000,1.3,,0.05792355359373295,
