fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2014-12-31,2017-03-14,-9539000,7566000,,,,,275000,-1.260771874173936,,,,
2015-12-31,2017-03-14,-12397000,-21201000,,,,,2554000,0.5847365690297628,,,,
2016-12-31,2017-03-14,-31634000,209837000,,,,36109000.0,6165000,-0.15075510991865115,,29944000.0,,
2017-12-31,2018-03-14,-67543000,300597000,,,,-65276000.0,10091000,-0.2246961879193738,,-75367000.0,,
2018-12-31,2019-02-27,-85343000,277920000,,,,-61257000.0,6358000,-0.3070775762809442,,-67615000.0,,
2019-12-31,2020-02-27,-99533000,269881000,,,,-103240000.0,6794000,-0.36880328737480594,,-110034000.0,,
2020-12-31,2021-02-26,-134231000,527072000,-2.4,,,-49912000.0,3585000,-0.25467298585392506,,-53497000.0,,
2021-12-31,2022-02-24,-267892000,1040244000,-3.78,,,-225030000.0,12756000,-0.2575280414979563,,-237786000.0,,
2022-12-31,2023-02-23,-474186000,1235584000,-6.16,,284530000.0,-333287000.0,13558000,-0.3837747979902621,,-346845000.0,,0.2302797705376567
2023-12-31,2024-02-22,-481192000,1050169000,-5.42,,250808000.0,-394086000.0,13985000,-0.45820434615761846,,-408071000.0,,0.23882632223956335
2024-12-31,2025-02-27,-519021000,871956000,-5.25,,319059000.0,-348880000.0,5778000,-0.5952376037322984,,-354658000.0,,0.3659118120639115
2025-12-31,2026-02-26,-412694000,671394000,-3.81,,170733000.0,-394736000.0,1129000,-0.6146822878965257,,-395865000.0,,0.25429628504276175
