fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-06-30,2012-09-05,5728088,52410690,1.16,,20735205,13922191,9085148,0.10929236001281419,,4837043,,0.39562930768513066
2012-06-30,2012-09-05,2446545,59595231,0.39,,16352562,8112715,4912322,0.041052697656294004,,3200393,,0.27439380174564637
2013-06-30,2013-09-12,7863143,72150524,0.95,,13282328,13845819,8958876,0.10898247946196482,,4886943,,0.18409191317862086
2014-06-30,2014-09-16,-11356047,62633167,-1.25,,16145595,18634902,13236136,-0.1813104389244759,,5398766,,0.2577802747863604
2015-06-30,2015-09-15,-5548818,59799636,-0.57,,15322057,5078282,3558712,-0.09279016347189806,,1519570,,0.2562232485829847
2016-06-30,2016-09-15,3402761,64303629,0.32,,15708084,1659036,3335921,0.052917091195584,,-1676885,,0.24427989903960165
2017-06-30,2017-09-28,-4978030,63394471,-0.46,,21483777,454365,2203203,-0.07852467133924029,,-1748838,,0.3388903899836943
2018-06-30,2018-09-26,4306888,62789635,0.38,,22838229,15714322,2449449,0.06859234012110438,,13264873,,0.3637260990607765
2019-06-30,2019-09-23,8583399,58069243,0.74,,21012789,4933210,2726558,0.1478131719402645,,2206652,,0.3618574638556938
2020-06-30,2020-09-28,937081,58988143,0.08,,22996046,3972426,1377145,0.015885921345243907,,2595281,,0.38984183651958665
2021-06-30,2021-09-28,1778257,54650129,0.15,,24740659,15725923,2551283,0.03253893508650273,,13174640,,0.45270998353910563
2022-06-30,2022-09-27,-851156,45403834,-0.08,,21754409,3060622,2609205,-0.018746346398852573,,451417,,0.4791315420631659
2023-06-30,2023-09-22,-5243748,33806700,-0.46,,21597657,2009571,1639438,-0.1551097267701373,,370133,,0.6388572975179476
2024-06-30,2024-09-30,683873,34838682,0.06,,24653342,2909388,515404,0.0196297035576719,,2393984,,0.7076427862569543
2025-06-30,2025-09-29,2923233,37833765,0.25,,20181979,447267,1382770,0.07726518891260227,,-935503,,0.5334382924882046
