fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2011-03-01,285500000,1778700000,0.97,,0.16051048518580985,
2010-12-31,2011-03-01,292800000,1902000000,0.96,,0.15394321766561514,
2011-12-31,2012-02-29,125200000,1849100000,0.42,,0.06770861500189282,
2012-12-31,2013-03-01,401300000,1996700000,1.37,,0.20098161967245956,
2013-12-31,2014-03-03,474600000,2071500000,1.63,,0.22910934105720493,
2014-12-31,2015-03-02,377800000,1851400000,1.35,,0.2040617910770228,
2015-12-31,2016-02-29,350000000,1822900000,1.29,,0.1920017554446212,
2016-12-31,2017-03-01,527800000,11348800000,1.25,,0.046507119695474414,
2017-12-31,2018-03-01,2748800000,14144700000,5.63,,0.1943342736148522,
2018-12-31,2019-03-04,-6917900000,5243000000,-14.6,,-1.3194545107762732,
2019-12-31,2020-03-02,106600000,4963300000,0.25,,0.021477645921060586,
2020-12-31,2021-02-19,-770000000,3874000000,-1.82,,-0.19876097057305112,
2021-12-31,2022-02-14,572000000,4091000000,1.34,,0.13981911513077488,
2022-12-31,2023-02-15,197000000,3519000000,0.47,,0.055981813015061097,
2023-12-31,2024-02-21,-388000000,3112000000,-0.94,,-0.12467866323907455,
2024-12-31,2025-02-14,-216000000,2751000000,-0.52,,-0.07851690294438386,
2025-12-31,2026-02-13,-285000000,2391000000,-0.68,,-0.1191969887076537,
