fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-03-31,2012-06-14,-3473000,88387000,-0.16,,-0.039293108715082535,
2011-03-31,2012-06-14,341000,90455000,0.01,,0.0037698303023602896,
2012-03-31,2012-06-14,483000,92769000,0.02,,0.005206480613135853,
2013-03-31,2013-06-14,-10399000,77769000,-0.5,,-0.1337165194357649,
2014-03-31,2014-06-13,-6199000,77012000,-0.3,,-0.08049394899496183,
2015-03-31,2015-06-12,-32061000,64511000,-1.43,,-0.4969850103083195,
2016-03-31,2016-06-23,-20126000,45983000,-0.73,,-0.43768349172520277,
2017-03-31,2017-06-13,-12288000,35450000,-0.44,,-0.3466290550070522,
2018-03-31,2018-06-13,-13128000,23424000,-0.46,,-0.5604508196721312,
2019-03-31,2019-06-05,-6674000,17970000,-0.23,,-0.3713967723984418,
2020-03-31,2020-06-05,12462000,31035000,0.4,,0.4015466408893185,
2021-03-31,2021-06-01,26134000,58074000,0.83,,0.450012053586803,
2022-03-31,2022-06-10,6091000,65100000,0.19,,0.09356374807987711,
2023-03-31,2023-06-12,-34341000,33249000,-1.08,,-1.032843093025354,
2024-03-31,2024-06-12,-11671000,22542000,-0.36,,-0.5177446544228551,
2025-03-31,2025-06-26,-11801000,11884000,-0.36,,-0.9930158195893638,
2026-03-31,2026-06-04,-3163000,16628000,-0.89,,-0.1902213134471975,
