fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2011-02-22,59114000,1380848000,1.18,,550320000,,,0.04280992549505811,,,,0.3985377101607128
2010-12-31,2011-02-22,168018000,1627906000,3.19,,1387066000,230922000.0,,0.10321111906952858,,,,0.8520553398046324
2011-12-31,2012-02-17,322453000,1962156000,5.86,,1740369000,215913000.0,,0.16433606706092685,,,,0.8869677028737776
2012-12-31,2013-02-20,448609000,2464405000,8.1,,1974162000,637483000.0,168863000.0,0.18203542031443695,,468620000.0,,0.8010704409380763
2013-12-31,2014-02-25,421258000,2623417000,7.53,,1505967000,687263000.0,164895000.0,0.1605760731138054,,522368000.0,,0.574047892500506
2014-12-31,2015-02-23,179003000,1340657000,3.31,,468955000,438036000.0,199256000.0,0.13351886425834497,,238780000.0,,0.34979491398620227
2015-12-31,2016-02-22,28597000,1255672000,0.56,,343466000,256121000.0,114738000.0,0.02277425952000204,,141383000.0,,0.2735316229078931
2016-12-31,2017-02-17,-46390000,1204307000,-0.92,,179591000,149257000.0,29689000.0,-0.03852007835211454,,119568000.0,,0.14912393600635054
2017-12-31,2018-02-20,-84850000,1132713000,-1.69,,168798000,95382000.0,35171000.0,-0.07490864852791483,,60211000.0,,0.14902097883576865
2018-12-31,2019-02-19,-19105000,1439768000,-0.33,,564053000,103170000.0,88024000.0,-0.013269498974834834,,15146000.0,,0.3917665901728612
2019-12-31,2020-02-21,-231808000,1223967000,-3.9,,503900000,137432000.0,56116000.0,-0.18939072703757537,,81316000.0,,0.41169410613194635
2020-12-31,2021-02-22,-468383000,757631000,-7.83,,394629000,132755000.0,12749000.0,-0.6182204793626449,,120006000.0,,0.5208722979920304
2021-12-31,2022-02-22,-63993000,695826000,-1.06,,389922000,7194000.0,17517000.0,-0.09196695725655551,,-10323000.0,,0.560372851833648
2022-12-31,2023-02-17,-9540000,689558000,-0.15,,374834000,32862000.0,20266000.0,-0.013834949344362621,,12596000.0,,0.5435858912520775
2023-12-31,2024-02-21,12891000,709545000,0.2,,336941000,56575000.0,,0.018167980889161363,,,,0.4748691062582359
2024-12-31,2025-02-21,-11258000,680654000,-0.18,,324454000,45894000.0,,-0.01653997478895298,,,,0.47667978150425916
2025-12-31,2026-03-04,-109377000,573191000,-1.86,,310240000,105123000.0,,-0.19082120968403202,,,,0.5412506476898625
