fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-20,-381161,525980,,,28935,-131647,,-0.7246682383360584,,,,0.05501159739914065
2011-12-31,2012-03-20,-679491,-10399,,,289230,-60063,,65.34195595730358,,,,
2012-12-31,2013-04-01,-783856,-71635,,,85483,-166962,,10.942360577929783,,,,
2013-12-31,2014-03-28,-552116,-120476,,,128260,-131064,,4.5827882731830405,,,,
2014-12-31,2015-03-23,-360301,-16763,,,21728,-136132,,21.493825687526098,,,,
2015-12-31,2016-04-01,-342348,-10493,,,18333,-199812,,32.626322310111505,,,,
2016-12-31,2017-04-12,-312952,-323445,,,329570,-164715,,0.9675586266598649,,,,
2017-12-31,2018-04-13,-398738,-87576,,,93121,-54080,,4.553051064218507,,,,
2018-12-31,2019-04-18,-1393544,-1722038,,,13721312,-131092,,0.809241143342946,,,,
2019-12-31,2020-04-29,-1343412,-2800400,,,14669329,244868,,0.47972146836166263,,,,
2020-12-31,2021-03-30,-1776727,5752181,,,8625321,-326661,,-0.30887884091269036,,,,1.4994870641240252
2021-12-31,2022-03-28,-4978358,42205201,,,3324290,-3508082,9596599.0,-0.11795603105882614,,-13104681.0,,0.07876493705124163
2022-12-31,2023-03-30,-7787269,34637777,-0.56,,4016042,-1921381,1562361.0,-0.22482011475505487,,-3483742.0,,0.11594398797590273
2023-12-31,2024-04-15,-23180663,12225648,-0.65,,7383539,2046922,1225148.0,-1.8960682493067034,,821774.0,,0.6039384579042354
2024-12-31,2025-04-15,-11224911,3189014,-6.1,,9490515,-2600306,,-3.519868837201718,,,,2.976002927550647
