fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-14,-7813133,103806990,,,-0.07526596234030097,
2010-12-31,2012-03-14,-3496945,102842688,-0.08,,-0.03400285492343413,
2011-12-31,2012-03-14,-8840619,100249701,-0.19,,-0.08818598870434537,
2012-12-31,2013-03-13,-15115000,170315000,-0.29,,-0.08874732114024014,
2013-12-31,2014-03-14,-11190000,161146000,-0.2,,-0.06944013503282738,
2014-12-31,2015-03-12,-4614000,158701000,-0.08,,-0.029073540809446696,
2015-12-31,2016-03-14,8167000,159436000,0.14,,0.05122431571288793,
2016-12-31,2017-03-14,19720000,185850000,0.35,,0.10610707559860103,
2017-12-31,2018-02-28,30948000,258081000,0.51,,0.119915840375696,
2018-12-31,2019-02-28,20396000,283378000,0.33,,0.07197453577906542,
2019-12-31,2020-03-02,16656000,307145000,0.27,,0.054228458871217175,
2020-12-31,2021-03-01,-14922000,398571000,-0.22,,-0.03743874993413972,
2021-12-31,2022-03-01,-22998000,380533000,-0.32,,-0.06043628279281955,
2022-12-31,2023-03-03,-17934000,363624000,-0.25,,-0.049320176886014123,
2023-12-31,2024-03-11,53655000,430671000,0.72,,0.12458465975187556,
2024-12-31,2025-03-07,-19500000,410338000,-0.26,,-0.04752179910220355,
2025-12-31,2026-03-09,-68731000,340827000,-0.94,,-0.2016594929392331,
