fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2007-06-30,2009-08-21,21660000,524068000,0.43,,0.04133051436073181,
2008-06-30,2009-08-21,53006000,636161000,1.01,,0.08332167485903726,
2009-06-30,2009-08-21,56938000,686464000,1.07,52716751.0,0.08294389800484803,13.021743316465008
2010-06-30,2010-08-20,87554000,886220000,1.53,,0.09879488163210039,
2011-06-30,2011-08-15,123203000,1039445000,2.11,,0.11852767582700384,
2012-06-30,2012-08-10,125174000,1179392000,2.13,,0.10613434718906013,
2013-06-30,2013-08-01,148520000,1337208000,2.51,,0.111067238604615,
2014-06-30,2014-07-31,218125000,1641866000,1.81,,0.13285188925283792,
2015-06-30,2015-07-29,234327000,1829284000,1.91,,0.12809766006809223,
2016-06-30,2016-07-27,284477000,1978656000,2.33,,0.1437728437889153,
2017-06-30,2017-08-03,1025659000,3532358000,4.01,,0.2903609996495259,
2018-06-30,2018-08-02,242224000,3716221000,0.91,,0.06518019245895225,
2019-06-30,2019-08-01,285501000,3883455000,1.06,,0.07351726748475262,
2020-06-30,2020-08-06,234225000,4005390000,0.86,,0.05847745163392329,
2021-06-30,2021-08-05,310672000,4097942000,1.14,,0.07581171231803671,
2022-06-30,2022-08-05,397090000,4031118000,1.46,,0.09850617124083194,
2023-06-30,2023-08-03,150379000,4020775000,0.56,,0.0374005011471669,
2024-06-30,2024-08-01,465090000,4198158000,1.71,,0.11078430111491754,
2025-06-30,2025-08-07,435868000,3928867000,1.65,,0.11093987146930655,
2026-06-30,2026-08-06,643022000,4014104000,2.58,,0.1601906677056698,
