fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-01,-87703000,-177123000,,,,-74838000.0,5177000,0.49515308570880123,,-80015000.0,,
2010-12-31,2012-03-01,-140166000,279866000,,,25881000.0,-121996000.0,5259000,-0.5008325412876162,,-127255000.0,,0.0924763994197223
2011-12-31,2012-03-01,-109388000,191463000,,,26853000.0,-102974000.0,9284000,-0.5713270971414842,,-112258000.0,,0.1402516413092869
2012-12-31,2013-03-15,-94465000,109382000,,,20301000.0,-76822000.0,1703000,-0.8636247280174069,,-78525000.0,,0.18559726463220638
2013-12-31,2014-03-14,-79293000,69180000,,,67005000.0,-29833000.0,909000,-1.1461838681699914,,-30742000.0,,0.9685602775368604
2014-12-31,2015-03-12,-66160000,54949000,,,69574000.0,,1609000,-1.2040255509654407,,,,1.2661558900070975
2015-12-31,2016-03-11,-31696000,73540000,,,57567000.0,,3009000,-0.4310035354908893,,,,0.7827984770193093
2016-12-31,2017-03-06,-74375000,84668000,,,53216000.0,-67929000.0,8207000,-0.8784310483299476,,-76136000.0,,0.6285255350309444
2017-12-31,2018-02-26,-92189000,86103000,,,57981000.0,-67518000.0,10433000,-1.0706827868947655,,-77951000.0,,0.6733911710393367
2018-12-31,2019-02-26,-102562000,114061000,-0.76,,56214000.0,-66430000.0,1854000,-0.899185523535652,,-68284000.0,,0.49284154969709193
2019-12-31,2020-02-28,-84134000,54917000,-0.55,,93068000.0,-78312000.0,2836000,-1.5320210499481035,,-81148000.0,,1.6947029153085567
2020-12-31,2021-02-26,29403000,335491000,0.17,,78489000.0,19503000.0,1039000,0.08764169530628244,,18464000.0,,0.23395262466057212
2021-12-31,2022-02-28,-181223000,790987000,-0.89,,1215983000.0,-111180000.0,5931000,-0.22910996008783963,,-117111000.0,,1.5372983373936613
2022-12-31,2023-02-28,-314248000,562904000,-1.4,,1204182000.0,-263211000.0,16750000,-0.5582621548256896,,-279961000.0,,2.139231556357745
2023-12-31,2024-02-28,-306735000,701304000,-1.21,,1044709000.0,-259173000.0,8843000,-0.4373780842544745,,-268016000.0,,1.4896663928909575
2024-12-31,2025-03-17,-309851000,506594000,-1.59,,753853000.0,-206058000.0,6188000,-0.6116357477585601,,-212246000.0,,1.4880811853278957
2025-12-31,2026-02-25,-546376000,5349000,-1.82,,778734000.0,-111209000.0,2714000,-102.14544774724247,,-113923000.0,,145.58496915311272
