fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-30,-10364363,-5015456,,,2.0664846825493037,
2010-12-31,2012-03-30,-18387300,7854350,,,-2.3410339493401744,
2011-12-31,2012-03-30,-12518527,1659818,,,-7.542108231143414,
2012-12-31,2013-03-15,-10121517,6972633,,,-1.4516061579607016,
2013-12-31,2014-03-10,-19831862,8418199,,,-2.355831930321438,
2014-12-31,2015-03-16,-22628744,17719336,,,-1.2770650096595042,
2015-12-31,2016-03-14,-20903901,4967278,,,-4.208321136847988,
2016-12-31,2017-03-23,-21074611,11330778,,,-1.8599438626367932,
2017-12-31,2018-04-02,-15665983,8515129,,,-1.8397822276092353,
2018-12-31,2019-03-22,-4924617,6049550,,,-0.8140468299294988,
2019-12-31,2020-03-27,-8351651,5125993,,,-1.6292747571055988,
2020-12-31,2021-03-22,-16266820,9767916,-3.72,,-1.665331683851499,
2021-12-31,2022-03-17,-26616000,7365000,-3.39,,-3.613849287169043,
2022-12-31,2023-03-22,-14260000,12479000,-16.53,,-1.1427197692122766,
2023-12-31,2024-03-26,-12300000,11313000,-1.8,,-1.0872447626624238,
2024-12-31,2025-03-24,-14438000,7492000,-10.19,,-1.9271222637479979,
2025-12-31,2026-03-20,-16781000,129380000,-0.3,,-0.12970319987633327,
