fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-31,2014-03-27,-2440538,2562305,,,1321810,-1892500,334338.0,-0.9524775543895048,,-2226838.0,,0.515867548945188
2013-12-31,2014-03-27,-6450336,1670878,,8082000.0,1267175,-5136912,365432.0,-3.8604470224636387,0.2067406582529077,-5502344.0,-0.6808146498391487,0.7583887034241877
2014-12-31,2015-04-14,-4526250,1207933,,9495045.0,1334119,-2695448,48299.0,-3.747103523125869,0.12721719591639638,-2743747.0,-0.28896619236665017,1.1044644032409083
2015-12-31,2017-06-19,-3354227,-1978807,,11017388.0,2083128,-871906,1399.0,1.6950753661170594,-0.17960763476787783,-873305.0,-0.07926606560466055,
2016-12-31,2017-09-25,-335982,-2351156,-0.07,11017388.0,2354393,-43203,23775.0,0.14290076881329866,-0.21340412083154373,-66978.0,-0.006079299376585448,
2017-12-31,2018-04-16,-1856315,373164,-0.06,,2609776,-1654617,20622.0,-4.974528625483702,,-1675239.0,,6.993643545465265
2018-12-31,2019-03-28,-3765047,9701018,,,3513611,-3707914,,-0.3881084438767148,,,,0.36218992687159224
2019-12-31,2020-03-06,-3357876,8012550,,,2870584,-2750145,,-0.41907707284197915,,,,0.35826097809062035
2020-12-31,2021-03-25,-14413788,22939478,,,2274911,-3143196,,-0.6283398427810781,,,,0.09917012932901088
2021-12-31,2022-03-30,-11427534,25485100,,,978405,-8717291,,-0.44840059485738726,,,,0.03839125606727068
2022-12-31,2023-03-30,-27424229,7470741,-34.05,,1149110,-9605143,,-3.6708847221446974,,,,0.15381472868621734
2023-12-31,2024-03-29,-11121520,4989159,-8.48,,797484,-8063346,2776.0,-2.2291372153102356,,-8066122.0,,0.15984337240003776
2024-12-31,2025-03-20,-11850118,1696171,-3.87,,1533118,-11245042,3244.0,-6.986393470941314,,-11248286.0,,0.9038699517914173
2025-12-31,2026-03-18,-13563834,5577314,-10.36,,2236253,-11385195,,-2.431965279344143,,,,0.40095519097544086
