fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2014-12-31,2017-03-03,297000,-76471000,,,-0.0038838252409410102,
2015-12-31,2017-03-03,900000,-85035000,,,-0.010583877227024167,
2016-12-31,2017-03-03,-1673000,124023000,,,-0.013489433411544632,
2017-12-31,2018-03-15,-17322000,118942000,,,-0.1456340064905584,
2018-12-31,2019-02-28,-35231000,97883000,,,-0.35992971200310575,
2019-12-31,2020-03-02,-22987000,125239000,,,-0.18354506184175856,
2020-12-31,2021-02-17,-51923000,109119000,-2.28,,-0.4758383049698036,
2021-12-31,2022-02-14,-51260000,-11076000,-2.12,,4.628024557602022,
2022-12-31,2023-02-13,-24301000,15591000,-0.95,,-1.5586556346610223,
2023-12-31,2024-02-12,-43366000,34131000,-1.62,,-1.270575136972254,
2024-12-31,2025-02-10,40838000,149864000,1.39,,0.2725004003629958,
2025-12-31,2026-02-09,-10847000,209231000,-0.37,,-0.05184222223284313,
